Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,EvidenceSource,TimelyGainVsDCCWindow_pp,EmgGainVsDCCWindow_pp,TimelyGainVsAoIGreedy_pp,OvertakeClass
10014,Primary,CurvedBlind,Medium,Dense,Default,Step59,1.30449251247919,0,2.63893510815308,V6OvertakesBoth
10014,Primary,CurvedBlind,Medium,Dense,ForestGeometry,Step59,-0.0499168053244681,0.666666666666666,0.00332778702162306,NearTieOrBoundary
10006,Reference,Mixed,Medium,Mixed,Default,Step59,6.16638935108154,-0.263157894736854,2.91514143094842,V6OvertakesBoth
10006,Reference,Mixed,Medium,Mixed,ForestGeometry,Step59,0.366056572379359,0.0197368421052668,0.0332778702163194,NearTieOrBoundary
10011,Boundary,Open,Low,Sparse,Default,Step59,-0.435940099833643,0,-0.415973377703849,StrongerBaselineOvertakes
10011,Boundary,Open,Low,Sparse,ForestGeometry,Step59,18.7886855241265,2.2,4.56905158069882,V6OvertakesBoth
10019,DenseBlind,ShortRangeOccluded,High,Dense,Default,Step59,-0.0133111480865256,0,-0.0133111480865256,NearTieOrBoundary
10019,DenseBlind,ShortRangeOccluded,High,Dense,ForestGeometry,Step59,-0.841930116472533,-0.912087912087911,-0.54908485856906,StrongerBaselineOvertakes
10017,LongRange,LongMixed,Medium,Mixed,Default,Step59,8.64891846921799,-1.44444444444443,2.66888519134776,V6OvertakesBoth
10017,LongRange,LongMixed,Medium,Mixed,ForestGeometry,Step59,1.09484193011646,-0.388888888888889,0.272878535773724,NearTieOrBoundary
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,Default,Step59,-0.732113144758761,0,-0.745424292845276,StrongerBaselineOvertakes
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ForestGeometry,Step59,-0.732113144758728,-0.913761467889906,-0.369384359400993,StrongerBaselineOvertakes
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,Default,Step59,6.87520798668887,0,1.99334442595673,V6OvertakesBoth
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ForestGeometry,Step59,-0.299500831946753,0,-0.545757071547426,StrongerBaselineOvertakes
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,Default,Step59,2.99833610648917,0,1.414309484193,V6OvertakesBoth
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ForestGeometry,Step59,-0.811980033277859,0,2.07653910149752,StrongerBaselineOvertakes
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Step60,1.14808652246257,NaN,0.532445923460922,V6OvertakesBoth
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Step60,1.28452579034942,NaN,0.405990016638946,NearTieOrBoundary
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Step60,0.705490848585699,NaN,0.202995008319473,NearTieOrBoundary
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Step60,-0.419301164725439,NaN,0.139767054908491,StrongerBaselineOvertakes
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Step60,2.48252911813645,NaN,0.625623960066568,V6OvertakesBoth
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Step60,3.52079866888521,NaN,1.44093178036608,V6OvertakesBoth
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,Step60,0.389351081530775,NaN,0.109816971713794,NearTieOrBoundary
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,Step60,0.249584026622274,NaN,0.193011647254571,NearTieOrBoundary
