Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,TimelyRate,0.804825291181364,0.00222544677179577,0.81630615640599,0.00521471293335253,0.0114808652246257,1.14808652246255,0.00939857911052753,0.0135631513387238,1.83364434747091e-11,p = 1.834e-11,7.33457738988363e-11,p = 7.335e-11,***,***,1,2.12489384846129,Meaningful,4.034017564436e-10,p = 4.034e-10,***
10014,Primary,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,LossRate,0.194675540765391,0.00235310076933959,0.18369384359401,0.00521471293335253,-0.0109816971713811,-1.09816971713811,-0.0130584905665631,-0.00890490377619905,1.16649356840526e-10,p = 1.166e-10,3.49948070521577e-10,p = 3.499e-10,***,***,-1,-2.03788274974173,Meaningful,2.33298713681052e-09,p = 2.333e-09,***
10014,Primary,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,AvgDelay,0.0769251915478404,0.000615562515606415,0.0741151918417752,0.00166525013618189,-0.00280999970606518,-3.65289919924037,-0.00342551751820607,-0.00219448189392428,2.64702832986075e-08,p = 2.647e-08,5.29405665972149e-08,p = 5.294e-08,***,***,-1,-1.75941654945454,Meaningful,4.23524532777719e-07,p = 4.235e-07,***
10014,Primary,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,AvgTxCost,1.69833610648918,0,2.29464059900166,0.0215081912463912,0.596304492512479,35.1111002253355,0.588015401407141,0.604593583617817,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,27.7245299561176,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,EmgTimely,0.0666666666666667,0.140545673785261,0.0666666666666667,0.140545673785261,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,TimelyRate,0.748419301164726,0.00682894907226683,0.752745424292845,0.00666481148565714,0.0043261231281198,0.432612312811986,0.00290183195815204,0.00575041429808755,0.000214206699489683,p = 2.142e-04,0.000642620098469049,p = 6.426e-04,***,***,1,1.17058543911595,Below1pp,0.00235627369438651,p = 0.002356,**
10006,Reference,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,LossRate,0.233610648918469,0.00613613607806514,0.231946755407654,0.00431045129844158,-0.00166389351081531,-0.166389351081531,-0.00342652592808671,9.87389064560969e-05,0.24995972606133,p = 0.25,0.24995972606133,p = 0.25,n.s.,n.s.,-0.272727272727273,-0.3638034375545,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,AvgDelay,0.0843962406004701,0.0010716612928229,0.0823587750486448,0.00133083188627227,-0.00203746555182532,-2.41416624405183,-0.0025322089421631,-0.00154272216148755,5.20370395884484e-07,p = 5.204e-07,2.08148158353794e-06,p = 2.081e-06,***,***,-1,-1.58713291116096,Meaningful,6.76481514649829e-06,p = 6.765e-06,***
10006,Reference,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,AvgTxCost,2.44470881863561,4.6811112914356e-16,2.86900665557405,0.0097189741957335,0.424297836938437,17.3557617047922,0.420552219204431,0.428043454672442,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,43.6566481599157,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Link-delay-aware,Budgeted-Lexico-MPC,EmgTimely,0.843421052631579,0.00983180340853503,0.840131578947368,0.00995333834904405,-0.00328947368421051,-0.328947368421051,-0.005271546136675,-0.00130740123174601,0.0431143100435092,p = 0.04311,0.0862286200870184,p = 0.08623,*,n.s.,-0.80952380952381,-0.639602149066831,Below1pp,0.388028790391583,p = 0.388,n.s.
