Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,TimelyRate,0.815973377703827,0.00393749070422607,0.81630615640599,0.00521471293335253,0.00033277870216305,0.0332778702163083,-0.000613535444415173,0.00127909284874127,0.668235214353686,p = 0.6682,1,p = 1,n.s.,n.s.,0.2,0.13552618543578,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,LossRate,0.184026622296173,0.00393749070422607,0.18369384359401,0.00521471293335253,-0.00033277870216305,-0.0332778702163056,-0.00127909284874127,0.000613535444415173,0.668235214353686,p = 0.6682,1,p = 1,n.s.,n.s.,-0.2,-0.13552618543578,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,AvgDelay,0.0744168082786568,0.00118654313516602,0.0741151918417752,0.00166525013618189,-0.00030161643688152,-0.405306870663037,-0.000596586995208679,-6.64587855436121e-06,0.212699950708465,p = 0.2127,0.850799802833862,p = 0.8508,n.s.,n.s.,-0.345454545454545,-0.394075430277309,Sub-ms,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,AvgTxCost,2.46071713810316,0.0183928097069882,2.29464059900166,0.0215081912463912,-0.166076539101498,-6.74911132733922,-0.170796262986556,-0.161356815216439,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.5610937181597,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,EmgTimely,0.0833333333333333,0.141639430933133,0.0666666666666667,0.140545673785261,-0.0166666666666667,-1.66666666666667,-0.0369786238842917,0.00364529055095835,0.317310527664727,p = 0.3173,0.951931582994182,p = 0.9519,n.s.,n.s.,-1,-0.316227766016838,Meaningful,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,TimelyRate,0.753078202995008,0.00785150898244542,0.752745424292845,0.00666481148565714,-0.000332778702163061,-0.0332778702163083,-0.0014557323695607,0.000790174965234575,0.717981791868077,p = 0.718,1,p = 1,n.s.,n.s.,-0.166666666666667,-0.114208048144032,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,LossRate,0.227454242928453,0.00407946212943611,0.231946755407654,0.00431045129844158,0.00449251247920133,0.449251247920132,0.00310560227112921,0.00587942268727344,7.89400719038991e-05,p = 7.894e-05,0.000236820215711697,p = 2.368e-04,***,***,1,1.24837186128093,Below1pp,0.00189456172569358,p = 0.001895,**
10006,Reference,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,AvgDelay,0.0871420430143634,0.00123087618706387,0.0823587750486448,0.00133083188627227,-0.00478326796571865,-5.48904730742912,-0.00498234649471588,-0.00458418943672141,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-9.25983635860555,Meaningful,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,AvgTxCost,3.91753577371049,0.0188811952186693,2.86900665557405,0.0097189741957335,-1.04852911813644,-26.7650170592654,-1.05789394062113,-1.03916429565175,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-43.1503149102506,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Lexico-Chance-MPC,Budgeted-Lexico-MPC,EmgTimely,0.840131578947368,0.0107657348321347,0.840131578947368,0.00995333834904405,2.22044604925031e-17,1.11022302462516e-14,-0.0016903170669366,0.00169031706693664,0.999999998999987,p = 1,1,p = 1,n.s.,n.s.,-0.0357142857142857,5.06261699229071e-15,Below1pp,1,p = 1,n.s.
