Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Link-delay-aware,0.0769251915478404,0.000615562515606415,0.000381529599941687,0.804825291181364,0.00222544677179577,0.00137934619962735,0.194675540765391,0.00235310076933959,0.00145846696702149,1.69833610648918,0,0,0.0666666666666667,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Risk-constrained-v6,0.074003678478888,0.00124160225735962,0.00076955305192754,0.815141430948419,0.004033964846582,0.00250027731558516,0.184359400998336,0.00420935462252034,0.00260898502495842,2.23123960066556,0.0188242934495639,0.0116674179582259,0.0666666666666667,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Lexico-Chance-MPC,0.0744168082786568,0.00118654313516602,0.000735427054435682,0.815973377703827,0.00393749070422607,0.00244048202265458,0.184026622296173,0.00393749070422607,0.00244048202265458,2.46071713810316,0.0183928097069882,0.0113999815638509,0.0833333333333333,0.141639430933133,0.0877890288148064
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0741151918417752,0.00166525013618189,0.0010321327276311,0.81630615640599,0.00521471293335253,0.00323211256181304,0.18369384359401,0.00521471293335253,0.00323211256181304,2.29464059900166,0.0215081912463912,0.013330915047062,0.0666666666666667,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,DCC-CBR-window,0.0777090462112598,0.00080834391599939,0.000501016749830387,0.804492512479201,0.00225292246384802,0.00139637580999355,0.195174708818636,0.00208263819806085,0.00129083252859647,2.1453377703827,0.00163652477246666,0.00101432856274356,0.1,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,AoI-greedy,0.0751147406232161,0.000814005490522857,0.000504525830075227,0.811480865224626,0.00248657923144317,0.00154119777495096,0.18801996672213,0.00260145078193206,0.00161239589957934,2.70324459234609,0.0106359836630749,0.00659225097220488,0.0666666666666667,0.140545673785261,0.0871111111111111
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Link-delay-aware,0.0843962406004701,0.0010716612928229,0.000664222550849962,0.748419301164726,0.00682894907226683,0.00423262648635677,0.233610648918469,0.00613613607806514,0.00380321654372605,2.44470881863561,4.6811112914356e-16,2.90138283768708e-16,0.843421052631579,0.00983180340853503,0.00609381488648362
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Risk-constrained-v6,0.0832363925146146,0.00122309396121281,0.000758081491126705,0.746422628951747,0.00633348970543325,0.003925537589254,0.212146422628952,0.00378208033748914,0.00234415767939998,3.07460898502495,0.00112523169410225,0.000697425829559504,0.829605263157895,0.00874447457779687,0.00541988149502636
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Lexico-Chance-MPC,0.0871420430143634,0.00123087618706387,0.000762904964681922,0.753078202995008,0.00785150898244542,0.00486641568494451,0.227454242928453,0.00407946212943611,0.00252847682365407,3.91753577371049,0.0188811952186693,0.0117026860401061,0.840131578947368,0.0107657348321347,0.00667267157997142
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0823587750486448,0.00133083188627227,0.000824858148906115,0.752745424292845,0.00666481148565714,0.00413089295618413,0.231946755407654,0.00431045129844158,0.0026716453938759,2.86900665557405,0.0097189741957335,0.00602388261586851,0.840131578947368,0.00995333834904405,0.00616914302303472
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,DCC-CBR-window,0.0906833227562263,0.000789936083047627,0.000489607456762955,0.733777038269551,0.00674737940132913,0.00418206908051867,0.246589018302829,0.00564526262895151,0.00349897002787409,2.71271214642263,0,0,0.841776315789474,0.0131989491103545,0.00818079341423719
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,AoI-greedy,0.0838438292245951,0.000793685011026557,0.000491931066397636,0.742762063227954,0.00675649132904761,0.00418771671182985,0.244425956738769,0.00676786398703565,0.00419476555827914,3.48202995008319,0.00900520183396603,0.00558148192263218,0.843421052631579,0.0122296872750866,0.00758003870472695
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Link-delay-aware,0.0206388361295256,0.000523818957765675,0.000324666353670555,0.952246256239601,0.00294006839283385,0.00182227326921302,0.0477537437603993,0.00294006839283385,0.00182227326921302,1.75474209650582,4.6811112914356e-16,2.90138283768708e-16,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Risk-constrained-v6,0.020020828323652,0.000385897939362148,0.000239182020818987,0.95973377703827,0.00219061759934903,0.00135775885489305,0.0402662229617304,0.00219061759934903,0.00135775885489305,2.04088851913477,0.039706367534851,0.0246102615682913,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Lexico-Chance-MPC,0.0204022984181318,0.000482640759135873,0.000299143841738407,0.962728785357737,0.00352529086679328,0.00218499791651658,0.0372712146422629,0.00352529086679328,0.00218499791651658,2.23762063227953,0.0259767357115742,0.0161005476008626,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Budgeted-Lexico-MPC,0.020207749751207,0.000581322856926871,0.0003603076396258,0.962562396006656,0.00409451554637642,0.00253780702813759,0.0374376039933444,0.00409451554637642,0.00253780702813759,2.0273544093178,0.0238348033109974,0.0147729641447954,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,DCC-CBR-window,0.0211181166689424,0.000398279112532117,0.000246855951454112,0.950582362728785,0.00248657923144314,0.00154119777495093,0.0490848585690515,0.00251119942821337,0.00155645753100508,2.28114808652246,0.000459373915493002,0.000284722902643009,0.955,0.0158113883008419,0.00980000000000001
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,AoI-greedy,0.0201001717062107,0.000435506129787125,0.000269929495798074,0.957071547420965,0.00280623641501353,0.00173932334997227,0.0429284525790349,0.00280623641501353,0.00173932334997227,2.82324459234609,0.0159357899558886,0.00987710494462984,0.96,0.0210818510677892,0.0130666666666667
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Link-delay-aware,0.0199493863512135,0.000322853385457813,0.000200106601475223,0.955574043261231,0.00877124251932197,0.00543647243707109,0.0299500831946755,0.00656248450704338,0.00406747003775758,2.61322795341099,0,0,0.951098901098901,0.00965479258994966,0.00598410244446838
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Risk-constrained-v6,0.0197935031682975,0.00026834486510906,0.000166321870542434,0.970049916805324,0.00697160570714172,0.00432104598470654,0.010648918469218,0.00369569190215367,0.00229061357244496,3.17243594009983,0.0103983307335928,0.00644495216044901,0.967032967032967,0.00767387368130433,0.00475631618463118
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Lexico-Chance-MPC,0.028929535827441,0.000244951248785473,0.000151822356925471,0.97603993344426,0.00623559370939775,0.00386486102228254,0.00316139767054908,0.00199204492468863,0.00123468223602535,4.70476206322795,0.00462952468430716,0.00286940912733099,0.973626373626374,0.00686372128085724,0.00425417852452712
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0199390305873686,0.000309999705774802,0.000192139808269164,0.960732113144759,0.00932044438717692,0.00577687128140862,0.021963394342762,0.00636256479188019,0.00394355851453637,2.66159733777039,0.00544883843427501,0.00337722505069664,0.956776556776557,0.0102593169902808,0.0063587905496824
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,DCC-CBR-window,0.0289424587472742,0.000277353266732389,0.000171905335715061,0.974376039933444,0.00582758759248527,0.00361197621105256,0.0116472545757071,0.00376169161571007,0.00233152061871732,3.19627287853578,0,0,0.971794871794872,0.00641461564667333,0.00397581996857616
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,AoI-greedy,0.0193955415842702,0.000275471323450945,0.000170738895184525,0.968386023294509,0.00780435234579605,0.00483718769873793,0.0224625623960066,0.00533427178637585,0.00330621590665128,3.65391014975042,4.6811112914356e-16,2.90138283768708e-16,0.965201465201465,0.00859050505462164,0.00532445019586353
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Link-delay-aware,0.122820560028256,0.000654710446673534,0.000405793739001337,0.533610648918469,0.00437069069436396,0.00270898215828942,0.463727121464226,0.00437069069436396,0.00270898215828942,2.21154742096506,0,0,0.0444444444444444,0.0351364184463153,0.0217777777777778
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Risk-constrained-v6,0.119530400833915,0.00136606678285759,0.000846696964066815,0.549584026622296,0.00632620005440216,0.00392101941673522,0.447753743760399,0.00614865626263586,0.00381097663452,2.95353410981697,0.0375237465017921,0.023257459036534,0.0444444444444444,0.0351364184463153,0.0217777777777778
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Lexico-Chance-MPC,0.11910404895071,0.00162158000098476,0.00100506569741283,0.557737104825291,0.00705058173358659,0.00436999583303318,0.441763727121464,0.00715667659487744,0.00443575410933804,3.86502495840266,0.0270732512588437,0.0167801749782175,0.0416666666666667,0.0327364250549328,0.0202902464624981
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Budgeted-Lexico-MPC,0.119494276410333,0.0012469993420931,0.00077289819970215,0.555241264559068,0.00597613477406587,0.00370404670807605,0.444259567387687,0.00586966458361528,0.00363805580034784,3.45620299500832,0.0474403101505331,0.0294038088641761,0.0416666666666667,0.0327364250549328,0.0202902464624981
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,DCC-CBR-window,0.123651347697947,0.000428146782418142,0.000265368125041517,0.525623960066556,0.00145689689812132,0.00090299405276314,0.470382695507488,0.002359628107175,0.00146251265292648,2.32668885191347,4.6811112914356e-16,2.90138283768708e-16,0.0416666666666667,0.0236065718221888,0.0146315048024677
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,AoI-greedy,0.121017825071528,0.00130583302765156,0.000809363695805503,0.543594009983361,0.0067039286160363,0.0041551380047796,0.453743760399335,0.00719098081347218,0.00445701608430393,3.53585690515807,0.00703671562522144,0.00436140153002873,0.0444444444444444,0.0351364184463153,0.0217777777777778
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Link-delay-aware,0.0367171418727377,0.000541778896066159,0.000335798038757017,0.837271214642263,0.011087075706461,0.00687184071733489,0.106655574043261,0.00762290052070046,0.0047247226923702,3.19422628951748,4.6811112914356e-16,2.90138283768708e-16,0.872844036697248,0.0101259729004041,0.00627614302652196
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Risk-constrained-v6,0.0369962332521507,0.000634703262203561,0.000393393157592854,0.838269550748752,0.0133986769110839,0.00830458598765993,0.0813643926788686,0.00667634031538731,0.00413803859888204,3.78217138103161,0.0122762475930585,0.00760889708878804,0.870825688073394,0.0104585367583115,0.00648226824117621
