Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,TimelyRate,0.815141430948419,0.004033964846582,0.81630615640599,0.00521471293335253,0.00116472545757071,0.116472545757063,-7.98431581442577e-06,0.00233743523095585,0.226117950332551,p = 0.2261,0.904471801330205,p = 0.9045,n.s.,n.s.,0.418181818181818,0.38276837370265,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,LossRate,0.184359400998336,0.00420935462252034,0.18369384359401,0.00521471293335253,-0.000665557404326111,-0.0665557404326139,-0.00188224702135525,0.000551132212703022,0.504984944327175,p = 0.505,1,p = 1,n.s.,n.s.,-0.244444444444444,-0.210818510677886,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgDelay,0.074003678478888,0.00124160225735962,0.0741151918417752,0.00166525013618189,0.000111513362887282,0.150686243142741,-0.000148149787675248,0.000371176513449812,0.600707722696451,p = 0.6007,1,p = 1,n.s.,n.s.,0.2,0.16550823763906,Sub-ms,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgTxCost,2.23123960066556,0.0188242934495639,2.29464059900166,0.0215081912463912,0.063400998336105,2.84151456962278,0.0580308919070423,0.0687711047651678,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.55005060696455,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,EmgTimely,0.0666666666666667,0.140545673785261,0.0666666666666667,0.140545673785261,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,TimelyRate,0.746422628951747,0.00633348970543325,0.752745424292845,0.00666481148565714,0.00632279534109816,0.632279534109814,0.00478735782545479,0.00785823285674154,5.21413253462555e-07,p = 5.214e-07,1.04282650692511e-06,p = 1.043e-06,***,***,1,1.58701123221066,Below1pp,1.25139180831013e-05,p = 1.251e-05,***
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,LossRate,0.212146422628952,0.00378208033748914,0.231946755407654,0.00431045129844158,0.0198003327787021,1.98003327787021,0.017950432977849,0.0216502325795553,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.12503186053966,Meaningful,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgDelay,0.0832363925146146,0.00122309396121281,0.0823587750486448,0.00133083188627227,-0.000877617465969815,-1.05436749414111,-0.00104373670219545,-0.000711498229744181,1.21189724922033e-10,p = 1.212e-10,3.63569174766099e-10,p = 3.636e-10,***,***,-0.963636363636364,-2.03604960958199,Sub-ms,3.15093284797285e-09,p = 3.151e-09,***
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgTxCost,3.07460898502495,0.00112523169410225,2.86900665557405,0.0097189741957335,-0.205602329450901,-6.68710494415058,-0.209388305421083,-0.201816353480719,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-20.9292276178874,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,EmgTimely,0.829605263157895,0.00874447457779687,0.840131578947368,0.00995333834904405,0.0105263157894737,1.05263157894737,0.00786708654544949,0.0131855450334979,1.40765575951107e-06,p = 1.408e-06,1.40765575951107e-06,p = 1.408e-06,***,***,1,1.52554014279295,Meaningful,3.23760824687547e-05,p = 3.238e-05,***
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,TimelyRate,0.95973377703827,0.00219061759934903,0.962562396006656,0.00409451554637642,0.00282861896838602,0.282861896838615,0.00154433548374417,0.00411290245302787,0.00727022551886458,p = 0.00727,0.0363511275943229,p = 0.03635,**,*,0.892857142857143,0.848821898255723,Below1pp,0.145404510377292,p = 0.1454,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,LossRate,0.0402662229617304,0.00219061759934903,0.0374376039933444,0.00409451554637642,-0.00282861896838602,-0.282861896838602,-0.00411290245302787,-0.00154433548374417,0.00727022551886458,p = 0.00727,0.0363511275943229,p = 0.03635,**,*,-0.892857142857143,-0.848821898255723,Below1pp,0.145404510377292,p = 0.1454,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgDelay,0.020020828323652,0.000385897939362148,0.020207749751207,0.000581322856926871,0.000186921427555046,0.93363483534908,4.65989893809905e-05,0.000327243865729102,0.104496364398041,p = 0.1045,0.313489093194122,p = 0.3135,n.s.,n.s.,0.6,0.513375324635985,Sub-ms,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgTxCost,2.04088851913477,0.039706367534851,2.0273544093178,0.0238348033109974,-0.0135341098169714,-0.663147922587596,-0.0330016948063583,0.00593347517241552,0.396845842118399,p = 0.3968,0.793691684236798,p = 0.7937,n.s.,n.s.,-0.163636363636364,-0.26792956575721,SeeDelta,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,EmgTimely,0.96,0.0210818510677892,0.96,0.0210818510677892,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,TimelyRate,0.970049916805324,0.00697160570714172,0.960732113144759,0.00932044438717692,-0.00931780366056572,-0.931780366056567,-0.0110062979323477,-0.00762930938878373,1.76112457950239e-11,p = 1.761e-11,5.28337373850718e-11,p = 5.283e-11,***,***,-1,-2.1267526708757,Below1pp,4.9311488226067e-10,p = 4.931e-10,***
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,LossRate,0.010648918469218,0.00369569190215367,0.021963394342762,0.00636256479188019,0.0113144758735441,1.13144758735441,0.00983975178853997,0.0127891999585482,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.95683228182749,Meaningful,8.90029543402881e-307,p < 1e-15,***
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgDelay,0.0197935031682975,0.00026834486510906,0.0199390305873686,0.000309999705774802,0.000145527419071101,0.735228210154258,0.000110744948622022,0.00018030988952018,3.41995101571513e-07,p = 3.420e-07,3.41995101571513e-07,p = 3.420e-07,***,***,1,1.61245434131251,Sub-ms,8.54987753928782e-06,p = 8.550e-06,***
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Budgeted-Lexico-MPC,AvgTxCost,3.17243594009983,0.0103983307335928,2.66159733777039,0.00544883843427501,-0.51083860232944,-16.1024087475621,-0.516066332501777,-0.505610872157102,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-37.6594148753786,SeeDelta,8.90029543402881e-307,p < 1e-15,***
