Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,TimelyRate,0.81630615640599,0.00521471293335253,0.81630615640599,0.00521471293335253,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,LossRate,0.18369384359401,0.00521471293335253,0.183194675540765,0.00540303000685864,-0.000499168053244592,-0.0499168053244597,-0.000931979985257483,-6.63561212317009e-05,0.159853781702567,p = 0.1599,0.639415126810269,p = 0.6394,n.s.,n.s.,-1,-0.444478318492315,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgDelay,0.0741151918417752,0.00166525013618189,0.0741172597294369,0.00166386818587145,2.06788766171501e-06,0.00279009958729803,6.50933055525727e-08,4.07068201787744e-06,0.208273562365837,p = 0.2083,0.639415126810269,p = 0.6394,n.s.,n.s.,1,0.397918019674706,Sub-ms,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgTxCost,2.29464059900166,0.0215081912463912,2.3006306156406,0.0215081912463912,0.00599001663893497,0.261043783568626,0.00599001663893483,0.00599001663893511,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,Inf,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,EmgTimely,0.0666666666666667,0.140545673785261,0.0666666666666667,0.140545673785261,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,TimelyRate,0.752745424292845,0.00666481148565714,0.747254575707155,0.00685816636479184,-0.00549084858569051,-0.549084858569049,-0.00684441472979936,-0.00413728244158167,7.67194909156999e-07,p = 7.672e-07,1.534389818314e-06,p = 1.534e-06,***,***,-1,-1.56337444359079,Below1pp,2.3783042183867e-05,p = 2.378e-05,***
10006,Reference,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,LossRate,0.231946755407654,0.00431045129844158,0.211647254575707,0.00374530072459992,-0.0202995008319467,-2.02995008319467,-0.0219217536546522,-0.0186772480092412,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-4.82247343175678,Meaningful,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgDelay,0.0823587750486448,0.00133083188627227,0.0832439877099495,0.00145081755349672,0.000885212661304788,1.07482494826074,0.000820419260131168,0.000950006062478408,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,5.2652604989794,Sub-ms,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgTxCost,2.86900665557405,0.0097189741957335,3.02524792013311,0.0123059551293218,0.156241264559066,5.44583137357012,0.152976501115563,0.159506028002569,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,18.4436575513128,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,EmgTimely,0.840131578947368,0.00995333834904405,0.829276315789474,0.00936200623076164,-0.0108552631578948,-1.08552631578949,-0.0135312278046363,-0.00817929851115325,7.67194909156999e-07,p = 7.672e-07,1.534389818314e-06,p = 1.534e-06,***,***,-1,-1.56337444359079,Meaningful,2.3783042183867e-05,p = 2.378e-05,***
10011,Boundary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,TimelyRate,0.962562396006656,0.00409451554637642,0.962728785357737,0.00438123519869805,0.000166389351081531,0.0166389351081375,-3.63922517566557e-05,0.000369170953919717,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,1,0.316227766016838,Below1pp,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,LossRate,0.0374376039933444,0.00409451554637642,0.0372712146422629,0.00438123519869805,-0.000166389351081531,-0.0166389351081528,-0.000369170953919717,3.63922517566557e-05,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,-1,-0.316227766016838,Below1pp,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgDelay,0.020207749751207,0.000581322856926871,0.0201910900160525,0.000598978733218437,-1.66597351545512e-05,-0.0824423073309064,-3.69632448175237e-05,3.64377450842126e-06,0.317310527664727,p = 0.3173,1,p = 1,n.s.,n.s.,-1,-0.316227766016838,Sub-ms,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgTxCost,2.0273544093178,0.0238348033109974,2.02967387687188,0.0214980253006623,0.00231946755407655,0.114408588030585,0.00095008786267691,0.00368884724547619,0.0389915680377073,p = 0.03899,0.194957840188537,p = 0.195,*,n.s.,1,0.652780905680531,SeeDelta,0.896806064867268,p = 0.8968,n.s.
10011,Boundary,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,EmgTimely,0.96,0.0210818510677892,0.96,0.0210818510677892,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,TimelyRate,0.960732113144759,0.00932044438717692,0.969051580698835,0.00804502023936494,0.00831946755407653,0.831946755407653,0.00620344479425797,0.0104354903138951,1.65689581699269e-06,p = 1.657e-06,4.97068745097806e-06,p = 4.971e-06,***,***,1,1.51522881682832,Below1pp,4.80499786927879e-05,p = 4.805e-05,***
10019,DenseBlind,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,LossRate,0.021963394342762,0.00636256479188019,0.0116472545757071,0.00483516244430468,-0.0103161397670549,-1.03161397670549,-0.0120993884691258,-0.00853289106498399,1.7972290322632e-12,p = 1.797e-12,7.18891612905281e-12,p = 7.189e-12,***,***,-1,-2.22950435190704,Meaningful,5.75113290324225e-11,p = 5.751e-11,***
10019,DenseBlind,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgDelay,0.0199390305873686,0.000309999705774802,0.0198260461561253,0.000293131353882939,-0.00011298443124333,-0.566649570791596,-0.000159705407659726,-6.62634548269332e-05,0.00320678670248586,p = 0.003207,0.00320678670248586,p = 0.003207,**,**,-0.890909090909091,-0.931986704337551,Sub-ms,0.0801696675621466,p = 0.08017,n.s.
10019,DenseBlind,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgTxCost,2.66159733777039,0.00544883843427501,3.10326622296173,0.147950797698964,0.441668885191338,16.5941286055434,0.385294104691367,0.498043665691308,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,3.01936046816027,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10019,DenseBlind,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,EmgTimely,0.956776556776557,0.0102593169902808,0.965934065934066,0.00885541605102258,0.00915750915750916,0.915750915750912,0.00682833392188469,0.0114866843931336,1.65689581699269e-06,p = 1.657e-06,4.97068745097806e-06,p = 4.971e-06,***,***,1,1.51522881682831,Below1pp,4.80499786927879e-05,p = 4.805e-05,***
10017,LongRange,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,TimelyRate,0.555241264559068,0.00597613477406587,0.555241264559068,0.00597613477406587,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10017,LongRange,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,LossRate,0.444259567387687,0.00586966458361528,0.442762063227953,0.0054030300068586,-0.00149750415973379,-0.149750415973388,-0.00197066123302289,-0.00102434708644468,0.00011476274206057,p = 1.148e-04,0.00034428822618171,p = 3.443e-04,***,***,-1,-1.2197356689221,Below1pp,0.00298383129357482,p = 0.002984,**
10017,LongRange,ModerateForestGeometry,Budgeted-Lexico-MPC,Selector-V6-BudgetedMPC,AvgDelay,0.119494276410333,0.0012469993420931,0.119527903180933,0.00124761774344649,3.3626770600069e-05,0.0281409048284284,2.38330815066202e-05,4.34204596935177e-05,2.85990042301343e-05,p = 2.860e-05,0.000114396016920537,p = 1.144e-04,***,***,1,1.32324990569243,Sub-ms,0.000772173114213626,p = 7.722e-04,***
