Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Seed,FallbackRate,FallbackCount,DenseBlindFallbackCount,HardLinkFallbackCount
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,1,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,2,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,3,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,4,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,5,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,6,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,7,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,8,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,9,0.0116472545757072,7,7,0
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,10,0.0116472545757072,7,7,0
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,1,0.114808652246256,69,42,0
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,2,0.129783693843594,78,43,2
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,3,0.123128119800333,74,37,5
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,4,0.121464226289517,73,38,5
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,5,0.111480865224626,67,30,1
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,6,0.0915141430948419,55,31,0
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,7,0.111480865224626,67,34,3
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,8,0.123128119800333,74,49,1
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,9,0.0748752079866889,45,31,0
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,10,0.129783693843594,78,44,12
