Scene,SceneRole,GeometryType,DensityClass,VegetationClass,Config,Method,AvgDelayMean,AvgDelayStd,AvgDelayCI95,TimelyRateMean,TimelyRateStd,TimelyRateCI95,LossRateMean,LossRateStd,LossRateCI95,AvgTxCostMean,AvgTxCostStd,AvgTxCostCI95,EmergencyTimelyRateMean,EmergencyTimelyRateStd,EmergencyTimelyRateCI95
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Link-delay-aware,0.0769251915478404,0.000615562515606415,0.000381529599941687,0.804825291181364,0.00222544677179577,0.00137934619962735,0.194675540765391,0.00235310076933959,0.00145846696702149,1.69833610648918,0,0,0.0666666666666667,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Risk-constrained-v6,0.074003678478888,0.00124160225735962,0.00076955305192754,0.815141430948419,0.004033964846582,0.00250027731558516,0.184359400998336,0.00420935462252034,0.00260898502495842,2.23123960066556,0.0188242934495639,0.0116674179582259,0.0666666666666667,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0741151918417752,0.00166525013618189,0.0010321327276311,0.81630615640599,0.00521471293335253,0.00323211256181304,0.18369384359401,0.00521471293335253,0.00323211256181304,2.29464059900166,0.0215081912463912,0.013330915047062,0.0666666666666667,0.140545673785261,0.0871111111111111
10014,Primary,CurvedBlind,Medium,Dense,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0741172597294369,0.00166386818587145,0.00103127618595465,0.81630615640599,0.00521471293335253,0.00323211256181304,0.183194675540765,0.00540303000685864,0.00334883269323006,2.3006306156406,0.0215081912463912,0.013330915047062,0.0666666666666667,0.140545673785261,0.0871111111111111
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Link-delay-aware,0.0843962406004701,0.0010716612928229,0.000664222550849962,0.748419301164726,0.00682894907226683,0.00423262648635677,0.233610648918469,0.00613613607806514,0.00380321654372605,2.44470881863561,4.6811112914356e-16,2.90138283768708e-16,0.843421052631579,0.00983180340853503,0.00609381488648362
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Risk-constrained-v6,0.0832363925146146,0.00122309396121281,0.000758081491126705,0.746422628951747,0.00633348970543325,0.003925537589254,0.212146422628952,0.00378208033748914,0.00234415767939998,3.07460898502495,0.00112523169410225,0.000697425829559504,0.829605263157895,0.00874447457779687,0.00541988149502636
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0823587750486448,0.00133083188627227,0.000824858148906115,0.752745424292845,0.00666481148565714,0.00413089295618413,0.231946755407654,0.00431045129844158,0.0026716453938759,2.86900665557405,0.0097189741957335,0.00602388261586851,0.840131578947368,0.00995333834904405,0.00616914302303472
10006,Reference,Mixed,Medium,Mixed,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0832439877099495,0.00145081755349672,0.000899226035926953,0.747254575707155,0.00685816636479184,0.00425073555187949,0.211647254575707,0.00374530072459992,0.00232136143915489,3.02524792013311,0.0123059551293218,0.00762731001052782,0.829276315789474,0.00936200623076164,0.00580263157894736
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Link-delay-aware,0.0206388361295256,0.000523818957765675,0.000324666353670555,0.952246256239601,0.00294006839283385,0.00182227326921302,0.0477537437603993,0.00294006839283385,0.00182227326921302,1.75474209650582,4.6811112914356e-16,2.90138283768708e-16,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Risk-constrained-v6,0.020020828323652,0.000385897939362148,0.000239182020818987,0.95973377703827,0.00219061759934903,0.00135775885489305,0.0402662229617304,0.00219061759934903,0.00135775885489305,2.04088851913477,0.039706367534851,0.0246102615682913,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Budgeted-Lexico-MPC,0.020207749751207,0.000581322856926871,0.0003603076396258,0.962562396006656,0.00409451554637642,0.00253780702813759,0.0374376039933444,0.00409451554637642,0.00253780702813759,2.0273544093178,0.0238348033109974,0.0147729641447954,0.96,0.0210818510677892,0.0130666666666667
10011,Boundary,Open,Low,Sparse,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0201910900160525,0.000598978733218437,0.000371250865126633,0.962728785357737,0.00438123519869805,0.0027155177097861,0.0372712146422629,0.00438123519869805,0.0027155177097861,2.02967387687188,0.0214980253006623,0.0133246141286198,0.96,0.0210818510677892,0.0130666666666667
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Link-delay-aware,0.0199493863512135,0.000322853385457813,0.000200106601475223,0.955574043261231,0.00877124251932197,0.00543647243707109,0.0299500831946755,0.00656248450704338,0.00406747003775758,2.61322795341099,0,0,0.951098901098901,0.00965479258994966,0.00598410244446838
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Risk-constrained-v6,0.0197935031682975,0.00026834486510906,0.000166321870542434,0.970049916805324,0.00697160570714172,0.00432104598470654,0.010648918469218,0.00369569190215367,0.00229061357244496,3.17243594009983,0.0103983307335928,0.00644495216044901,0.967032967032967,0.00767387368130433,0.00475631618463118
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0199390305873686,0.000309999705774802,0.000192139808269164,0.960732113144759,0.00932044438717692,0.00577687128140862,0.021963394342762,0.00636256479188019,0.00394355851453637,2.66159733777039,0.00544883843427501,0.00337722505069664,0.956776556776557,0.0102593169902808,0.0063587905496824
10019,DenseBlind,ShortRangeOccluded,High,Dense,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0198260461561253,0.000293131353882939,0.00018168469544827,0.969051580698835,0.00804502023936494,0.00498635520459506,0.0116472545757071,0.00483516244430468,0.00299686473145833,3.10326622296173,0.147950797698964,0.0917008544640347,0.965934065934066,0.00885541605102258,0.00548864373253046
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Link-delay-aware,0.122820560028256,0.000654710446673534,0.000405793739001337,0.533610648918469,0.00437069069436396,0.00270898215828942,0.463727121464226,0.00437069069436396,0.00270898215828942,2.21154742096506,0,0,0.0444444444444444,0.0351364184463153,0.0217777777777778
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Risk-constrained-v6,0.119530400833915,0.00136606678285759,0.000846696964066815,0.549584026622296,0.00632620005440216,0.00392101941673522,0.447753743760399,0.00614865626263586,0.00381097663452,2.95353410981697,0.0375237465017921,0.023257459036534,0.0444444444444444,0.0351364184463153,0.0217777777777778
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Budgeted-Lexico-MPC,0.119494276410333,0.0012469993420931,0.00077289819970215,0.555241264559068,0.00597613477406587,0.00370404670807605,0.444259567387687,0.00586966458361528,0.00363805580034784,3.45620299500832,0.0474403101505331,0.0294038088641761,0.0416666666666667,0.0327364250549328,0.0202902464624981
10017,LongRange,LongMixed,Medium,Mixed,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.119527903180933,0.00124761774344649,0.000773281488831979,0.555241264559068,0.00597613477406587,0.00370404670807605,0.442762063227953,0.0054030300068586,0.00334883269323004,3.48422296173045,0.0413456120159248,0.0256262758238938,0.0416666666666667,0.0327364250549328,0.0202902464624981
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Link-delay-aware,0.0367171418727377,0.000541778896066159,0.000335798038757017,0.837271214642263,0.011087075706461,0.00687184071733489,0.106655574043261,0.00762290052070046,0.0047247226923702,3.19422628951748,4.6811112914356e-16,2.90138283768708e-16,0.872844036697248,0.0101259729004041,0.00627614302652196
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Risk-constrained-v6,0.0369962332521507,0.000634703262203561,0.000393393157592854,0.838269550748752,0.0133986769110839,0.00830458598765993,0.0813643926788686,0.00667634031538731,0.00413803859888204,3.78217138103161,0.0122762475930585,0.00760889708878804,0.870825688073394,0.0104585367583115,0.00648226824117621
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0358816872580004,0.000570327812402667,0.000353492840426197,0.846589018302829,0.0122471805899993,0.00759088117364133,0.0880199667221298,0.00729292537929073,0.00452020198082439,3.382459234609,0.00852443678604707,0.0052835006587507,0.871192660550459,0.0103362104828269,0.00640644963012581
10013,HeldOutHighNLOS,ShortHighNLOS,High,Dense,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0358492387444706,0.00058237303109494,0.00036095854431875,0.846921797004992,0.0125498707698111,0.00777849049078129,0.0876871880199667,0.00714807481701549,0.00443042267218381,3.4837071547421,0.0126531824716937,0.00784252374701316,0.871559633027523,0.010487112048613,0.00649997938959825
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,Link-delay-aware,0.0570545295952114,0.000468948890021357,0.000290657533340358,0.871381031613977,0.00157850798344511,0.0009783693843594,0.128618968386023,0.00157850798344511,0.0009783693843594,2.19376039933445,0,0,1,0,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,Risk-constrained-v6,0.0556878347220249,0.000640340428647854,0.000396887109553487,0.874708818635607,0.00208263819806085,0.00129083252859647,0.125291181364393,0.00208263819806085,0.00129083252859647,2.62906821963394,0.00915131346689755,0.00567204285096336,1,0,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0556226217144355,0.000759174871433263,0.000470541460274543,0.875707154742096,0.00157850798344511,0.0009783693843594,0.124292845257903,0.00157850798344511,0.0009783693843594,2.59594009983361,0.00566089623215158,0.003508659835527,1,0,0
10007,HeldOutLongMixed,LongMixed,Medium,Mixed,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0556185408397912,0.000756356360700648,0.000468794529223703,0.875707154742096,0.00157850798344511,0.0009783693843594,0.124292845257903,0.00157850798344511,0.0009783693843594,2.62805324459235,0.00871471186728451,0.00540143437593274,1,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,Link-delay-aware,0.0439407244315886,0.000761278119890604,0.000471845067174188,0.928618968386023,0.00183112301932548,0.00113494180573847,0.0713810316139768,0.00183112301932548,0.00113494180573847,1.09043261231281,2.3405556457178e-16,1.45069141884354e-16,1,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,Risk-constrained-v6,0.0428264900780591,0.000905461665781496,0.000561210954776576,0.931281198003328,0.00222544677179577,0.00137934619962735,0.0687188019966723,0.00222544677179577,0.00137934619962735,1.34355241264559,0.0141605630925456,0.00877680793530053,1,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,Budgeted-Lexico-MPC,0.0434471442512011,0.00111912767964654,0.000693642522203575,0.931281198003328,0.00248657923144314,0.00154119777495093,0.0687188019966723,0.00248657923144314,0.00154119777495093,1.31135940099834,0.00836508127802532,0.00518473109159448,1,0,0
10015,HeldOutBoundary,LongLowNLOS,Low,Sparse,ModerateForestGeometry,Selector-V6-BudgetedMPC,0.0434471442512011,0.00111912767964654,0.000693642522203575,0.931281198003328,0.00248657923144314,0.00154119777495093,0.0687188019966723,0.00248657923144314,0.00154119777495093,1.31155906821963,0.00835594167588569,0.00517906630749936,1,0,0
