Scene,SceneRole,Config,BaselineMethod,ProposedMethod,Metric,Baseline_Mean,Baseline_Std,Proposed_Mean,Proposed_Std,Delta_Mean,DeltaPct,CI_Lower,CI_Upper,P_Value,P_Value_Display,P_Value_Holm,P_Value_Holm_Display,Significant,Significant_Holm,EffectSize_RBC,EffectSize_CohenDz,PracticalNote,P_Value_Holm_Family,P_Value_Holm_Family_Display,Significant_Holm_Family
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.815141430948419,0.004033964846582,0.81630615640599,0.00521471293335253,0.00116472545757071,0.116472545757063,-7.98431581442577e-06,0.00233743523095585,0.226117950332551,p = 0.2261,0.904471801330205,p = 0.9045,n.s.,n.s.,0.418181818181818,0.38276837370265,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.184359400998336,0.00420935462252034,0.183194675540765,0.00540303000685864,-0.0011647254575707,-0.116472545757074,-0.00233743523095584,7.98431581443379e-06,0.226117950332554,p = 0.2261,0.904471801330205,p = 0.9045,n.s.,n.s.,-0.418181818181818,-0.382768373702647,Below1pp,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgDelay,0.074003678478888,0.00124160225735962,0.0741172597294369,0.00166386818587145,0.000113581250548997,0.153480547026287,-0.000146469379296099,0.000373631880394093,0.594522190325574,p = 0.5945,1,p = 1,n.s.,n.s.,0.2,0.16832621562772,Sub-ms,1,p = 1,n.s.
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgTxCost,2.23123960066556,0.0188242934495639,2.3006306156406,0.0215081912463912,0.06939101497504,3.10997595033461,0.0640209085459772,0.0747611214041028,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,4.97993151671337,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10014,Primary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,EmgTimely,0.0666666666666667,0.140545673785261,0.0666666666666667,0.140545673785261,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.746422628951747,0.00633348970543325,0.747254575707155,0.00685816636479184,0.000831946755407653,0.0831946755407653,0.000378513306875104,0.0012853802039402,0.0253472357508921,p = 0.02535,0.101388943003569,p = 0.1014,*,n.s.,1,0.707106781186548,Below1pp,0.660119430160986,p = 0.6601,n.s.
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.212146422628952,0.00378208033748914,0.211647254575707,0.00374530072459992,-0.000499168053244592,-0.0499168053244597,-0.000931979985257483,-6.63561212317011e-05,0.159853781702567,p = 0.1599,0.479561345107701,p = 0.4796,n.s.,n.s.,-1,-0.444478318492315,Below1pp,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgDelay,0.0832363925146146,0.00122309396121281,0.0832439877099495,0.00145081755349672,7.59519533497233e-06,0.00912484924624286,-0.000180996509187378,0.000196186899857323,0.960854072392269,p = 0.9609,0.960854072392269,p = 0.9609,n.s.,n.s.,-0.155555555555556,0.0155209887950141,Sub-ms,1,p = 1,n.s.
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgTxCost,3.07460898502495,0.00112523169410225,3.02524792013311,0.0123059551293218,-0.0493610648918352,-1.60544202961258,-0.054131629371154,-0.0445905004125164,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-3.98765680251127,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10006,Reference,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,EmgTimely,0.829605263157895,0.00874447457779687,0.829276315789474,0.00936200623076164,-0.000328947368421051,-0.0328947368421151,-0.000729841260874174,7.19465240320723e-05,0.317310527664727,p = 0.3173,0.634621055329455,p = 0.6346,n.s.,n.s.,-1,-0.316227766016838,Below1pp,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.95973377703827,0.00219061759934903,0.962728785357737,0.00438123519869805,0.00299500831946755,0.299500831946753,0.00161635851964151,0.0043736581192936,0.00810739314262365,p = 0.008107,0.0405369657131183,p = 0.04054,**,*,0.892857142857143,0.837234458477157,Below1pp,0.235114401136086,p = 0.2351,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.0402662229617304,0.00219061759934903,0.0372712146422629,0.00438123519869805,-0.00299500831946755,-0.299500831946755,-0.0043736581192936,-0.00161635851964151,0.00810739314262365,p = 0.008107,0.0405369657131183,p = 0.04054,**,*,-0.892857142857143,-0.837234458477157,Below1pp,0.235114401136086,p = 0.2351,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgDelay,0.020020828323652,0.000385897939362148,0.0201910900160525,0.000598978733218437,0.000170261692400495,0.850422817917867,1.92777016193207e-05,0.000321245683181669,0.169341297818402,p = 0.1693,0.508023893455206,p = 0.508,n.s.,n.s.,0.563636363636364,0.434599346651244,Sub-ms,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgTxCost,2.04088851913477,0.039706367534851,2.02967387687188,0.0214980253006623,-0.0112146422628948,-0.549498032731798,-0.0296387289331256,0.00720944440733589,0.458192183932786,p = 0.4582,0.916384367865573,p = 0.9164,n.s.,n.s.,-0.127272727272727,-0.234586210689027,SeeDelta,1,p = 1,n.s.
10011,Boundary,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,EmgTimely,0.96,0.0210818510677892,0.96,0.0210818510677892,0,0,0,0,1,p = 1,1,p = 1,n.s.,n.s.,0,0,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.970049916805324,0.00697160570714172,0.969051580698835,0.00804502023936494,-0.000998336106489184,-0.0998336106489139,-0.00186395997051497,-0.000132712242463402,0.159853781702567,p = 0.1599,0.668201617292791,p = 0.6682,n.s.,n.s.,-1,-0.444478318492315,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.010648918469218,0.00369569190215367,0.0116472545757071,0.00483516244430468,0.000998336106489184,0.0998336106489184,0.000132712242463402,0.00186395997051497,0.159853781702567,p = 0.1599,0.668201617292791,p = 0.6682,n.s.,n.s.,1,0.444478318492315,Below1pp,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgDelay,0.0197935031682975,0.00026834486510906,0.0198260461561253,0.000293131353882939,3.25429878277716e-05,0.164412471865485,4.13023540668867e-06,6.09557402488546e-05,0.162751659428886,p = 0.1628,0.668201617292791,p = 0.6682,n.s.,n.s.,1,0.441415053971866,Sub-ms,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgTxCost,3.17243594009983,0.0103983307335928,3.10326622296173,0.147950797698964,-0.069169717138102,-2.18033455817946,-0.125372351025514,-0.0129670832506895,0.133640323458558,p = 0.1336,0.668201617292791,p = 0.6682,n.s.,n.s.,-1,-0.474310079971835,SeeDelta,1,p = 1,n.s.
10019,DenseBlind,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,EmgTimely,0.967032967032967,0.00767387368130433,0.965934065934066,0.00885541605102258,-0.00109890109890111,-0.109890109890109,-0.00205172150600642,-0.000146080691795795,0.159853781702568,p = 0.1599,0.668201617292791,p = 0.6682,n.s.,n.s.,-1,-0.444478318492314,Below1pp,1,p = 1,n.s.
10017,LongRange,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.549584026622296,0.00632620005440216,0.555241264559068,0.00597613477406587,0.00565723793677204,0.565723793677209,0.00386376996076902,0.00745070591277506,0.000120955964114433,p = 1.210e-04,0.000483823856457732,p = 4.838e-04,***,***,0.933333333333333,1.21566480128813,Below1pp,0.00374963488754743,p = 0.00375,**
10017,LongRange,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.447753743760399,0.00614865626263586,0.442762063227953,0.0054030300068586,-0.00499168053244593,-0.499168053244592,-0.00706406927071786,-0.002919291794174,0.0033304965905252,p = 0.00333,0.0099914897715756,p = 0.009991,**,**,-0.844444444444444,-0.928279121632913,Below1pp,0.099914897715756,p = 0.09991,n.s.
10017,LongRange,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgDelay,0.119530400833915,0.00136606678285759,0.119527903180933,0.00124761774344649,-2.49765298234311e-06,-0.00208955459441925,-0.000238489394856342,0.000233494088891656,0.989708735238668,p = 0.9897,0.989708735238668,p = 0.9897,n.s.,n.s.,0.0909090909090909,-0.00407885546332122,Sub-ms,1,p = 1,n.s.
10017,LongRange,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgTxCost,2.95353410981697,0.0375237465017921,3.48422296173045,0.0413456120159248,0.530688851913479,17.9679269709319,0.504980187261039,0.556397516565919,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,7.95542652062583,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10017,LongRange,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,EmgTimely,0.0444444444444444,0.0351364184463153,0.0416666666666667,0.0327364250549328,-0.00277777777777778,-0.277777777777777,-0.00616310398071528,0.000607548425159725,0.317310527664727,p = 0.3173,0.634621055329455,p = 0.6346,n.s.,n.s.,-1,-0.316227766016838,Below1pp,1,p = 1,n.s.
10013,HeldOutHighNLOS,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.838269550748752,0.0133986769110839,0.846921797004992,0.0125498707698111,0.00865224625623959,0.86522462562395,0.00752929258884196,0.00977519992363723,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,1,2.96940925174484,Below1pp,8.90029543402881e-307,p < 1e-15,***
10013,HeldOutHighNLOS,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.0813643926788686,0.00667634031538731,0.0876871880199667,0.00714807481701549,0.00632279534109816,0.632279534109816,0.00532937242874363,0.0073162182534527,8.88178419700125e-15,p = 8.882e-15,1.77635683940025e-14,p = 1.776e-14,***,***,1,2.45288945259803,Below1pp,2.93098878501041e-13,p = 2.931e-13,***
10013,HeldOutHighNLOS,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgDelay,0.0369962332521507,0.000634703262203561,0.0358492387444706,0.00058237303109494,-0.00114699450768005,-3.1003007788999,-0.00118891687069032,-0.00110507214466978,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-10.5443207309411,Meaningful,8.90029543402881e-307,p < 1e-15,***
10013,HeldOutHighNLOS,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,AvgTxCost,3.78217138103161,0.0122762475930585,3.4837071547421,0.0126531824716937,-0.298464226289506,-7.89134590215471,-0.307098495094556,-0.289829957484455,2.2250738585072e-308,p < 2.3e-308,1.1125369292536e-307,p < 2.3e-308,***,***,-1,-13.3220096138348,SeeDelta,8.90029543402881e-307,p < 1e-15,***
10013,HeldOutHighNLOS,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,EmgTimely,0.870825688073394,0.0104585367583115,0.871559633027523,0.010487112048613,0.00073394495412844,0.0733944954128485,-0.000764276283733281,0.00223216619199016,0.550492388907986,p = 0.5505,0.550492388907986,p = 0.5505,n.s.,n.s.,0.111111111111111,0.188795032658266,Below1pp,1,p = 1,n.s.
10007,HeldOutLongMixed,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,TimelyRate,0.874708818635607,0.00208263819806085,0.875707154742096,0.00157850798344511,0.000998336106489184,0.0998336106489139,0.000457585165587354,0.00153908704739101,0.0244488677837402,p = 0.02445,0.122244338918701,p = 0.1222,*,n.s.,1,0.711512473537885,Below1pp,0.660119430160986,p = 0.6601,n.s.
10007,HeldOutLongMixed,ModerateForestGeometry,Risk-constrained-v6,Selector-V6-BudgetedMPC,LossRate,0.125291181364393,0.00208263819806085,0.124292845257903,0.00157850798344511,-0.000998336106489184,-0.0998336106489181,-0.00153908704739101,-0.000457585165587354,0.0244488677837402,p = 0.02445,0.122244338918701,p = 0.1222,*,n.s.,-1,-0.711512473537885,Below1pp,0.660119430160986,p = 0.6601,n.s.
