Method,Stage,MeanError_m,RMSE_m,MaxError_m,Availability
Fixed constraints,Normal_1,0.187652280075074,0.211856504147165,0.599678570308603,1
Fixed constraints,Degraded,2.37550933817739,2.42416771850688,3.43556940660435,1
Fixed constraints,Outage,1.94923144761232,1.94994000359844,1.98002368268105,1
Fixed constraints,Recovery,0.206220834187539,0.286398260456099,1.72780417905127,1
Fixed constraints,Full,1.03257975807702,1.46206707430295,3.43556940660435,1
Adaptive constraints,Normal_1,0.18761464342896,0.211767435397801,0.597936989678534,1
Adaptive constraints,Degraded,2.35652962196767,2.4049353061077,3.42016141276323,1
Adaptive constraints,Outage,1.91892686165991,1.91996786154832,1.95189936679489,1
Adaptive constraints,Recovery,0.205850661752943,0.281206972781221,1.66136018994595,1
Adaptive constraints,Full,1.02268215185309,1.44718829181185,3.42016141276323,1
