t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,4.08297494161814,1.32402501643618,2.49351508462812
0.2,0,0,4.09205340223568,1.32532554381628,2.49919028109132
0.4,0,0,4.10181118470564,1.32696684856198,2.50484808637764
0.6,0,0,4.11201925705707,1.32883942261784,2.51048339352932
0.8,0,0,4.14987928339821,1.34442744094078,2.51609260147848
1,0,0,4.14759335400565,1.34012834562588,2.52167538477541
1.2,0,0,4.14543406885515,1.33589523611626,2.52723761462327
1.4,0,0,4.15436355911,1.33716166138543,2.53277775931271
1.6,0,0,4.16873708988594,1.34113060279683,2.53829419019898
1.8,0,0,4.1831033487687,1.34510105645558,2.54378512916635
2,0,0,4.18560516263183,1.34319718013854,2.54924877920118
2.2,0,0,4.19679864463182,1.34560650901595,2.55468461547458
2.4,0,0,4.20790978379367,1.34798099262175,2.56009113801379
2.6,0,0,4.21883866213026,1.35027436244381,2.56546405272989
2.8,0,0,4.23253878407868,1.35395246295366,2.57080031679708
3,0,0,4.24596822979977,1.35750650771997,2.57610015023293
3.2,0,0,4.25897299648671,1.36085937394301,2.58136341372706
3.4,0,0,4.26883041796795,1.362662137158,2.58658867391827
3.6,0,0,4.2783481477654,1.36430679803987,2.59177450805763
3.8,0,0,4.28850577181084,1.36628669997512,2.59691198047827
4,0,0,4.2992220492607,1.36855859044397,2.6020032226116
4.2,0,0,4.33320243781599,1.38237567432925,2.60704736044055
4.4,1,1,5.48971046967244,1.9016516059385,2.6120449991221
4.6,0,0,4.32823442036731,1.37390623684881,2.61699479482809
4.8,0,0,4.33616836708846,1.37485635651235,2.62189541169881
5,0,0,4.34488113429746,1.37620740573689,2.62674552573778
5.2,0,0,4.36536748394625,1.38340906359902,2.63154379339308
5.4,0,0,4.3647450544333,1.38016462282193,2.63628896464361
5.6,0,0,4.3747709617536,1.38221391786224,2.64097976684953
5.8,0,0,4.38468604185615,1.3842249363316,2.64561493930573
6,0,0,4.39409577106537,1.3860025682123,2.65019323659447
6.2,0,0,4.40385173433875,1.38796929451994,2.65471342898774
6.4,0,0,4.41354560674887,1.38992315856805,2.65917430284477
6.6,0,0,4.4231455554858,1.39184879667347,2.6635746610045
6.8,0,0,4.43395630993923,1.39439326638212,2.667913323173
7,0,0,4.4440949217711,1.39662375026058,2.67218912630566
7.2,0,0,4.45136269222194,1.39745093556184,2.67640092498399
7.4,1,1,5.59152236478977,1.9088800278498,2.68054759178701
7.6,1,1,5.60654538262269,1.91359113457534,2.6846280176568
7.8,1,1,5.64139807973953,1.92815092160208,2.68864111225862
8,1,1,5.62544229230793,1.91755020917742,2.69258580433488
8.2,1,1,5.6342250134488,1.91923185335236,2.69646104205335
8.4,1,1,5.64289651352909,1.92088055400301,2.70026548546789
8.6,1,1,5.6589944789499,1.9262388989671,2.7039915907607
8.8,1,1,5.67199994519777,1.9300905329151,2.7076417712926
9,1,1,5.68091631649041,1.93193716551275,2.71121988137447
9.2,1,1,5.6878568032462,1.93282652034343,2.71472495532968
9.4,1,1,5.69172443483123,1.93221529170005,2.71815604922657
9.6,1,1,5.69692364069958,1.93230333195477,2.72149532461007
9.8,1,1,5.7046555922707,1.93369255046492,2.72473552755035
10,1,1,5.71225704709951,1.93504442954426,2.72789510307999
10.2,1,1,5.72040092959975,1.93668168327104,2.73098458435432
10.4,1,1,5.72982421426256,1.93896999595883,2.73400306070788
10.6,1,1,5.72349552576254,1.93346872573256,2.7369496465368
10.8,1,1,5.72890403173333,1.93380241998196,2.73982348154875
11,1,1,5.73618947918638,1.93508456267111,2.74262373100493
11.2,1,1,5.76282409990791,1.94597511065637,2.74534958595395
11.4,1,1,5.7621066677807,1.94332847336509,2.74800026345773
11.6,1,1,5.76416250312168,1.94207569601155,2.7505750068093
11.8,1,1,5.77080067561947,1.9431137303702,2.75307312070521
12,1,1,5.78223069272115,1.94654819584258,2.75549245904072
12.2,1,1,5.7944152005976,1.95038354047707,2.75782716771463
12.4,1,1,5.79964596238077,1.95081891985973,2.7600570523809
12.6,1,1,5.81331156257109,1.95546617993916,2.76219718111341
12.8,1,1,5.82062595354952,1.95699192309482,2.76425257834383
13,1,1,5.82569311765204,1.95743378076892,2.76621931957682
13.2,1,1,5.83055115400227,1.95780623312599,2.76809274677794
13.4,1,1,5.83813028574682,1.95956606783729,2.76986806450481
13.6,1,1,5.84423408130572,1.96064112846089,2.77153727500308
13.8,1,1,5.85639871078586,1.96474860309764,2.77311848563679
14,1,1,5.84879193262261,1.95908777826778,2.77460930801832
14.2,1,1,5.84938023009689,1.95753168401279,2.77599705133084
14.4,1,1,5.84636069211152,1.95422987060571,2.77728235953229
14.6,1,1,5.86447095561958,1.96142930047725,2.77847891783376
14.8,1,1,5.8715771098237,1.96319994337205,2.7795906434312
15,1,1,5.85311884444066,1.95232570878136,2.78061724583771
15.2,1,1,5.8538566079218,1.9509909528378,2.78155846306295
15.4,1,1,5.85728014288149,1.95101314093769,2.78241406167427
15.6,1,1,5.8629678608759,1.95218357767643,2.78318382899543
15.8,1,1,5.86444199292336,1.95129204742766,2.78386753907304
16,1,1,5.86942949850094,1.95216856942691,2.78446487336919
16.2,1,1,5.87928606721003,1.95548516930799,2.78497581593784
16.4,1,1,5.8835194939841,1.95604186405065,2.78540034666673
16.6,1,1,5.8868918136819,1.95619901186933,2.78573840466144
16.8,1,1,5.88984608808346,1.95617640145819,2.78598995775447
17,1,1,5.89267822825183,1.95612721099055,2.78614854203409
17.2,1,1,5.89825653791694,1.95749726078278,2.78618962510428
17.4,1,1,5.90343527220434,1.95870405958748,2.78613733588374
17.6,1,1,5.90880645232964,1.96003941950081,2.78599356816988
17.8,1,1,5.90951104554289,1.95909455409851,2.78575917122667
18,1,1,5.90506080944743,1.95562760970538,2.78543431175372
18.2,1,1,5.90592945147156,1.95483676957115,2.78501193432712
18.4,1,1,5.90735083545033,1.95435870930161,2.78449354228081
18.6,1,1,5.90885699366669,1.95395935223149,2.78388168401941
18.8,1,1,5.9102091167638,1.95351818574544,2.78317893987485
19,1,1,5.90844325353459,1.95156631000874,2.78238562064761
19.2,1,1,5.90676628318857,1.94969319550778,2.78150206394224
19.4,1,1,5.90459124951967,1.94760801225378,2.7805286340615
19.6,1,1,5.90533208205596,1.94700283627491,2.77946572189202
19.8,1,1,5.90592000502948,1.94635678999563,2.77831374478102
20,1,1,5.90635535234078,1.94567009659137,2.77707314640463
20.2,1,1,5.90663849529624,1.94494299160023,2.77574439662742
20.4,1,1,5.90676984244665,1.94417572285115,2.77432799135353
20.6,1,1,5.91252116737947,1.94622892617589,2.77282445236919
20.8,1,1,5.93472548691864,1.95647167605673,2.7712343271768
21,1,1,5.90625774949762,1.94163559506641,2.76955818882062
