t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,2.30987485409995,0.81592544009002,0
0.2,0,0,2.31486937732323,0.816072815712458,0
0.4,0,0,2.32053775955227,0.816558713009918,0
0.6,0,0,2.32666032946635,0.817276516772148,0
0.8,0,0,2.35972600088917,0.831472668566711,0
1,0,0,2.35371959481889,0.82613887258813,0
1.2,0,0,2.34785132805289,0.820874437900968,0
1.4,0,0,2.35279621062216,0.821017162608746,0
1.6,0,0,2.36305904466112,0.823819824780857,0
1.8,0,0,2.37333306377,0.826629545702124,0
2,0,0,2.37207406339966,0.823674748032955,0
2.2,0,0,2.37929816886628,0.824962978311125,0
2.4,0,0,2.38646309173827,0.826223383837496,0
2.6,0,0,2.39347436100619,0.82741132464613,0
2.8,0,0,2.40320986047345,0.829967315392111,0
3,0,0,2.41270760454304,0.832409259152655,0
3.2,0,0,2.42181782748807,0.834661471499712,0
3.4,0,0,2.42789044901543,0.835399182399937,0
3.6,0,0,2.43366030794493,0.835990080366209,0
3.8,0,0,2.44008698983609,0.836920414410747,0
4,0,0,2.44709013737384,0.838147368269433,0
4.2,0,0,2.47677892693859,0.850725373121379,0
4.4,0,0,2.49951678224601,0.859834776323195,0
4.6,0,0,2.46524454582999,0.840446247003338,0
4.8,0,0,2.46967306546178,0.840415460085311,0
5,0,0,2.47489560218789,0.840789297428507,0
5.2,0,0,2.49161880462676,0.846921361139234,0
5.4,0,0,2.48782567431859,0.842803363555532,0
5.6,0,0,2.49443932094622,0.843897100701187,0
5.8,0,0,2.50098432539516,0.844965105708789,0
6,0,0,2.50707740986821,0.845815981427705,0
6.2,0,0,2.51354863356398,0.846864998236809,0
6.4,0,0,2.52000125751618,0.847914026437757,0
6.6,0,0,2.5264051250357,0.848948226449674,0
6.8,0,0,2.53403149111411,0.850603463484794,0
7,0,0,2.5410477252396,0.851963658930311,0
7.2,0,0,2.5453137349894,0.851959002118654,0
7.4,0,0,2.55273366262786,0.853541798600661,0
7.6,0,0,2.56464367198471,0.8573803635591,0
7.8,1,1,3.69590950537455,1.37090780024272,0
8,0,0,2.57775083707115,0.859734176678023,0
8.2,0,0,2.58372925242023,0.860640515200305,0
8.4,0,0,2.58964924118375,0.861529542320367,0
8.6,1,1,3.70285516346239,1.36607903740718,0
8.8,1,1,3.71310313707729,1.36916448481792,0
9,1,1,3.71942039021584,1.37029575471353,0
9.2,1,1,3.72386524882452,1.37050224635743,0
9.4,1,1,3.7253702384542,1.36925045714023,0
9.6,1,1,3.72823534296455,1.3687045250999,0
9.8,1,1,3.73363480147744,1.36945702721747,0
10,1,1,3.73896376832045,1.37018987859244,0
10.2,1,1,3.7448708619516,1.37121825066251,0
10.4,1,1,3.75207430805499,1.37290154783365,0
10.6,1,1,3.74399109758401,1.36694855400882,0
10.8,1,1,3.74738829405613,1.36674308622047,0
11,1,1,3.75266544469289,1.3674852001862,0
11.2,1,1,3.77683598764952,1.37768189390987,0
11.4,1,1,3.77442701555494,1.3745969894384,0
11.6,1,1,3.77477236623951,1.37289767821296,0
11.8,1,1,3.77963402493314,1.37346519340026,0
12,1,1,3.78921738356673,1.37640368342421,0
12.2,1,1,3.79959496825578,1.37975393230647,0
12.4,1,1,3.80327400423019,1.37978588686459,0
12.6,1,1,3.81522899875552,1.38397415213216,0
12.8,1,1,3.8210594776842,1.38511412215673,0
13,1,1,3.82476403657131,1.38520810532059,0
13.2,1,1,3.82833016230811,1.38525347845,0
13.4,1,1,3.83461409654744,1.38668212834253,0
13.6,1,1,3.83953481177637,1.38745996066407,0
13.8,1,1,3.8504189057399,1.39123524308559,0
14,1,1,3.84211479540119,1.38543402967242,0
14.2,1,1,3.84186176353203,1.38368630066748,0
14.4,1,1,3.83816680056817,1.38024494285416,0
14.6,1,1,3.85510853178528,1.38713795462144,0
14.8,1,1,3.86139537719869,1.38871628567032,0
15,1,1,3.84285000535346,1.37789149081527,0
15.2,1,1,3.8430562707136,1.3764557146403,0
15.4,1,1,3.8459381186125,1.37637114396368,0
15.6,1,1,3.85108517419749,1.3774328087592,0
15.8,1,1,3.85219010624599,1.37648729208123,0
16,1,1,3.85677692370334,1.37729694357943,0
16.2,1,1,3.86616567363755,1.38052190347119,0
16.4,1,1,3.87013999196969,1.38105413020758,0
16.6,1,1,3.87333674163723,1.38121224966753,0
16.8,1,1,3.8761873386079,1.38121216098691,0
17,1,1,3.87898398524851,1.38120546670106,0
17.2,1,1,3.88453508149114,1.3826167490498,0
17.4,1,1,3.88976228847747,1.38388721922205,0
17.6,1,1,3.89524083759696,1.38530318127322,0
17.8,1,1,3.8962388742719,1.38449827557589,0
18,1,1,3.89228085527464,1.38123487972143,0
18.2,1,1,3.8935695644937,1.38062049486563,0
18.4,1,1,3.89546318110935,1.3803333006169,0
18.6,1,1,3.89750438957022,1.3801428896537,0
18.8,1,1,3.89945898569313,1.37993040396361,0
19,1,1,3.89844070212323,1.3782528403424,0
19.2,1,1,3.89757185065069,1.37667148281577,0
19.4,1,1,3.89628062917079,1.37490055610537,0
19.6,1,1,3.89789091840854,1.37460212397726,0
19.8,1,1,3.89941430632253,1.37428210143038,0
20,1,1,3.90085078436974,1.37394060281561,0
20.2,1,1,3.90220036176345,1.37357774895178,0
20.4,1,1,3.90346306542515,1.37319366708883,0
20.6,1,1,3.91025853872905,1.3755982902676,0
20.8,1,1,3.9331345890427,1.38606563107795,0
21,1,1,3.90673046767238,1.37191542161951,0
21.2,1,1,3.90764629777003,1.37144782744345,0
21.4,1,1,3.90847565228727,1.37095973651809,0
21.6,1,1,3.9528161355199,1.39225004999002,0
21.8,1,1,3.91785454869968,1.37391226496918,0
22,1,1,3.91044626700186,1.36937416302198,0
22.2,1,1,3.91093120962971,1.36880579520326,0
22.4,1,1,3.91133050735889,1.36821781581853,0
22.6,1,1,3.91164437727158,1.36761041978118,0
22.8,1,1,3.91187305319781,1.36698380782373,0
23,1,1,3.91201678560518,1.3663381864335,0
23.2,1,1,3.91214468534519,1.36570818971683,0
23.4,1,1,3.91233900059011,1.36513501785891,0
23.6,1,1,3.91194107353751,1.36428941546772,0
23.8,0,0,2.81174786522643,0.863569933974027,0
24,0,0,2.81147121116589,0.862832559437841,0
24.2,1,1,3.94486628722241,1.37895494548473,0
24.4,0,0,2.81587574479123,0.863908480884226,0
24.6,0,0,2.81014413063681,0.86051549946312,0
24.8,0,0,2.80953732790786,0.85970900060637,0
25,1,1,3.92904424880368,1.36898349558394,0
25.2,1,1,3.92516175282684,1.36658746667108,0
25.4,0,0,2.8072293293528,0.857190708427353,0
25.6,0,0,2.8062989329975,0.856319245375031,0
25.8,0,0,2.80528877519757,0.855432227783939,0
26,0,0,2.80419933998374,0.854529939553319,0
26.2,0,0,2.80303112570918,0.853612669071414,0
26.4,0,0,2.80178464487182,0.8526807091223,0
26.6,0,0,2.80046042393524,0.851734356792339,0
26.8,0,0,2.7990590031425,0.850773913373392,0
27,0,0,2.79758093632952,0.849799684266064,0
27.2,0,0,2.79602679073307,0.848811978880601,0
27.4,0,0,2.79439714679695,0.847811110537139,0
27.6,0,0,2.79269259797735,0.84679739636586,0
27.8,0,0,2.7909137505317,0.845771157199163,0
