t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.40269598856084,1.10173238077588,1.90831828703582
0.2,0,0,3.41043917775079,1.1026194819806,1.91313373912792
0.4,0,0,3.41883114439994,1.1038374120662,1.91793651522235
0.6,0,0,3.42765516925428,1.10528067365668,1.92272187181591
0.8,0,0,3.46268296428202,1.11995674186216,1.92748657027937
1,0,0,3.45968188720594,1.11545152893002,1.93223064645082
1.2,0,0,3.45680763248157,1.11101273007016,1.93696033153571
1.4,0,0,3.4644463251577,1.11188190374346,1.9416744524072
1.6,0,0,3.47725041353618,1.11536110078441,1.94637173744921
1.8,0,0,3.49005559099845,1.11884498961241,1.95105076388745
2,0,0,3.49162850961766,1.11666567260498,1.95571008822926
2.2,0,0,3.50144484751659,1.11865058014634,1.96034953721376
2.4,0,0,3.51119231044481,1.12060557836718,1.96496796035122
2.6,0,0,3.52077651225193,1.12248617064159,1.9695614108193
2.8,0,0,3.53299597914275,1.12570650664676,1.97412719071159
3,0,0,3.54496916292308,1.12881131799784,1.97866586248776
3.2,0,0,3.55655056932745,1.13172636785442,1.98317762667292
3.4,0,0,3.56516105432224,1.13315058349442,1.98766138700615
3.6,0,0,3.57346100438691,1.1344268874688,1.99211605497592
3.8,0,0,3.58237859838134,1.13603127544286,1.99653302616299
4,0,0,3.5918373414437,1.13792219204659,2.00091476013071
4.2,0,0,3.62334919842074,1.15095503686625,2.00526070775332
4.4,0,0,3.64807847512774,1.16057712433327,2.00957179571447
4.6,0,0,3.61731703578293,1.14220951290933,2.01384699822526
4.8,0,0,3.62419096149897,1.14284633700923,2.01808529385586
5,0,0,3.63181642572248,1.1438754971831,2.0222856693098
5.2,0,0,3.6506104116906,1.15055408849367,2.02644708788573
5.4,0,0,3.64941985111174,1.14716184579848,2.03056860244548
5.6,0,0,3.65833238238866,1.14888212073686,2.03464923914754
5.8,0,0,3.66715487922734,1.15057158957338,2.03868803188482
6,0,0,3.6755138747306,1.15204217038531,2.04268402552307
6.2,0,0,3.6842164849491,1.15370153015045,2.04663627619027
6.4,0,0,3.69287615752393,1.15535497839267,2.05054385156265
6.6,0,0,3.70146303100882,1.15698781698805,2.05440583114727
6.8,0,0,3.71121352402995,1.15922434141087,2.05822130656083
7,0,0,3.72034398127407,1.16116483982464,2.06198938180502
7.2,0,0,3.72677159379031,1.16175863707414,2.06570917353797
7.4,0,0,3.73624059992418,1.16390477772287,2.06937981134189
7.6,0,0,3.75005060209232,1.16825942941779,2.07300043798665
7.8,0,0,3.78266548980517,1.18212178334379,2.07657020968952
8,0,0,3.76716153573517,1.17172081178637,2.08008829637061
8.2,0,0,3.77511369952925,1.17317536588234,2.0835538819042
8.4,0,0,3.78297909434319,1.17460575660107,2.08696585648453
8.6,0,0,3.7978990893545,1.17962227828416,2.09031690077487
8.8,0,0,3.80990816078195,1.18319316199661,2.09360964686655
9,0,0,3.81806250637775,1.18483786313751,2.09684816196104
9.2,0,0,3.82436444346942,1.18556714516222,2.10003168734496
9.4,0,0,3.82777489410137,1.1848570038488,2.10315948003718
9.6,0,0,3.83246633010172,1.18482947509739,2.10621389643694
9.8,0,0,3.8395767478234,1.1860652250589,2.10918787129125
10,0,0,3.84658379257892,1.18727327369826,2.11210003205266
10.2,0,0,3.85412558162621,1.18876507250995,2.1149610879624
10.4,0,0,3.86290051556692,1.19089344779451,2.11777029803185
10.6,0,0,3.8567729038278,1.18551631892494,2.12052693985194
10.8,0,0,3.8617866867547,1.1857764902358,2.12323030977241
11,0,0,3.86860022174489,1.18696031490018,2.12587972307523
11.2,0,0,3.89376719257146,1.19742156588662,2.12847451414228
11.4,0,0,3.89304207939457,1.1948332198641,2.13101403661719
11.6,0,0,3.89496633612328,1.19359836475609,2.13349766356139
11.8,0,0,3.90125403756075,1.19458228628165,2.13592482256714
12,0,0,3.91210374371796,1.19788690954805,2.13829348349562
12.2,0,0,3.92369031942709,1.20158726611239,2.14059790122705
12.4,0,0,3.92871026400772,1.20201684186833,2.1428179833599
12.6,0,0,3.94174365613455,1.20651844201225,2.14496889282574
12.8,0,0,3.94878218251677,1.20801807638009,2.14705574177951
13,0,0,3.95371400115634,1.20848133154649,2.1490746862697
13.2,0,0,3.95846997775963,1.20888681691599,2.15102114158349
13.4,0,0,3.96582618029788,1.21063980359348,2.15289037833781
13.6,0,0,3.97180662550302,1.21174139042609,2.15467445753755
13.8,0,0,3.98355191093859,1.21577745228948,2.15639153797072
14,0,0,3.97658803512699,1.21039995867091,2.15803927530574
14.2,0,0,3.9774106055133,1.20899127772466,2.15960501538372
14.4,0,0,3.97483736974718,1.20590786967607,2.16108943139475
14.6,0,0,3.99230574601267,1.21296369935348,2.16250623033134
14.8,0,0,3.99937158656501,1.21479210910432,2.16385934369749
15,0,0,3.98224016546586,1.20443219568155,2.16514848782116
