t,tx_x,tx_y,rx_x,rx_y,relay_available
0,-4426.07179775801,98.5005603708863,-4358.21236620174,111.237402547305,0
0.2,-4421.73491511118,99.3151110749185,-4353.53157235464,112.078181421557,0
0.4,-4417.39886976008,100.134099571589,-4348.85103623321,112.918914002313,0
0.6,-4413.06343370289,100.956315843481,-4344.16423259491,113.721834194729,0
0.8,-4408.7279976457,101.778532115373,-4339.47076927471,114.482478722814,0
1,-4404.39256158852,102.600748387265,-4334.77174956795,115.206253354262,0
1.2,-4400.05712553133,103.422964659157,-4330.07313703335,115.929965270314,0
1.4,-4395.72168947414,104.245180931049,-4325.37496866288,116.65360877322,0
1.6,-4391.38625341695,105.067397202941,-4320.67718546532,117.376554833054,0
1.8,-4387.05081735976,105.889613474833,-4315.97953409449,118.096899362951,0
2,-4382.71538130257,106.711829746725,-4311.28157260488,118.811503136233,0
2.2,-4378.37994524539,107.534046018617,-4306.58420288934,119.526016895158,0
2.4,-4374.0445091882,108.356262290509,-4301.88746166636,120.240435054502,0
2.6,-4369.70634953052,109.163814531282,-4297.19138558551,120.954752039523,0
2.8,-4365.36472067944,109.952674199414,-4292.49601122341,121.668962286573,0
3,-4361.02151599774,110.732814248773,-4287.80137507977,122.38306024371,0
3.2,-4356.67831131605,111.512954298133,-4283.10751357329,123.097040371307,0
3.4,-4352.33510663435,112.293094347492,-4278.41446303776,123.810897142656,0
3.6,-4347.99190195265,113.073234396852,-4273.72225971802,124.524625044578,0
3.8,-4343.6411076167,113.80970316919,-4269.03093976603,125.238218578026,0
4,-4339.28460506406,114.511152987099,-4264.34053923683,125.951672258684,0
4.2,-4334.92332180003,115.182907179259,-4259.65109408469,126.664980617576,0
4.4,-4330.56203853601,115.854661371419,-4254.96264015908,127.378138201664,0
4.6,-4326.20075527199,116.52641556358,-4250.27521320076,128.091139574444,0
4.8,-4321.83941897338,117.197825160442,-4245.58884883791,128.80397931654,0
5,-4317.4779747216,117.868533325221,-4240.90358258215,129.5166520263,0
5.2,-4313.11550623146,118.532544721525,-4236.2194498247,130.229152320384,0
5.4,-4308.7529720893,119.196126865814,-4231.53648583246,130.941474834365,0
5.6,-4304.39043794714,119.859709010103,-4226.85472574419,131.653614223322,0
5.8,-4300.02790380498,120.523291154392,-4222.17420456661,132.365565162404,0
6,-4295.66536966282,121.186873298681,-4217.49495717057,133.077322347428,0
6.2,-4291.30283552066,121.85045544297,-4212.81701828726,133.78888049546,0
6.4,-4286.94030137849,122.514037587259,-4208.14042250436,134.500234345388,0
6.6,-4282.57776723633,123.177619731548,-4203.46520426227,135.211378658507,0
6.8,-4278.21523309418,123.841201875837,-4198.79139785031,135.92230821909,0
7,-4273.85269895202,124.504784020126,-4194.11903740302,136.633017834958,0
7.2,-4269.49016480985,125.168366164415,-4189.44815689632,137.343502338053,0
7.4,-4265.12763066769,125.831948308701,-4184.77879014388,138.053756585004,0
7.6,-4260.76509652553,126.495530452984,-4180.11097079334,138.763775457687,0
7.8,-4256.40256238337,127.159112597265,-4175.44473232268,139.473553863793,0
8,-4252.04002824121,127.822694741547,-4170.78010803649,140.183086737381,0
8.2,-4247.67749409905,128.486276885828,-4166.11713106236,140.892369039435,0
8.4,-4243.31495995689,129.149859030108,-4161.45860739989,141.619367451583,0
8.6,-4238.95242581472,129.813441174387,-4156.81184044881,142.40632361651,0
8.8,-4234.58989167256,130.477023318652,-4152.17331000028,143.231832041134,0
9,-4230.2273575304,131.140605462916,-4147.53655016159,144.05702535446,0
9.2,-4225.86482338823,131.804187607179,-4142.90159298776,144.881897851735,0
9.4,-4221.50228924607,132.467769751443,-4138.2684703361,145.706443863386,0
9.6,-4217.1397551039,133.131351895706,-4133.64890409637,146.590558339208,0
9.8,-4212.77722096174,133.794934039969,-4129.04999407072,147.570199671595,0
10,-4208.41468681958,134.458516184233,-4124.4585036985,148.574953734399,0
10.2,-4204.05215267741,135.122098328496,-4119.8689580095,149.579282242927,0
10.4,-4199.68961853525,135.78568047276,-4115.28138758131,150.583178505894,0
10.6,-4195.32708439308,136.449262617023,-4110.69582277495,151.586635879414,0
10.8,-4190.96455025092,137.112844761287,-4106.11229373146,152.589647767729,0
11,-4186.60201610876,137.77642690555,-4101.53083036867,153.592207623938,0
11.2,-4182.23948196659,138.440009049814,-4096.95146237786,154.594308950705,0
11.4,-4177.87694782443,139.103591194077,-4092.37421922055,155.59594530098,0
11.6,-4173.51441368226,139.767173338341,-4087.79913012523,156.597110278702,0
11.8,-4169.1518795401,140.430755482604,-4083.22617485021,157.597572523534,0
12,-4164.78991611139,141.098036325887,-4078.65529021446,158.596905162928,0
12.2,-4160.43026414956,141.78029740156,-4074.08656419238,159.595373896595,0
12.4,-4156.08290108187,142.536051252261,-4069.52010688758,160.593346815182,0
12.6,-4151.73845049555,143.309222971013,-4064.95594631759,161.590817795615,0
12.8,-4147.39399990922,144.082394689765,-4060.39411024811,162.587780769863,0
13,-4143.04954932289,144.855566408517,-4055.82549307959,163.539700444719,0
13.2,-4138.70509873656,145.628738127269,-4051.24405539132,164.416904381775,0
13.4,-4134.36766170909,146.43784721758,-4046.66181046075,165.276635453193,0
13.6,-4130.05129602652,147.354925566493,-4042.08201322879,166.135907281906,0
