t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.96462101892359,1.29053791761385,2.39288559801647
0.2,0,0,3.97537313608423,1.2927274770268,2.39793820259624
0.4,0,0,3.98861229344106,1.29609720219772,2.40301994338695
0.6,0,0,4.03799699938577,1.31730656331643,2.40814796377811
0.8,0,0,4.04344502309909,1.31660164108635,2.41337318548843
1,0,0,4.05541617124081,1.31899385607219,2.41869242672228
1.2,0,0,4.06267164018445,1.31896731232955,2.42406037347346
1.4,0,0,4.07586507375841,1.32186070592265,2.42942821218305
1.6,0,0,4.09188047973183,1.32675039431188,2.43428848568291
1.8,0,0,4.10578008507175,1.33059540238137,2.43912457766676
2,0,0,4.11385206190507,1.33155656300755,2.44393506992044
2.2,0,0,4.12095128139876,1.33204113236955,2.44871805183848
2.4,0,0,4.11934498991641,1.32822832036507,2.45346296145906
2.6,1,1,5.31997395833671,1.86937955250284,2.45817123017704
2.8,1,1,5.32843425223181,1.87058103676497,2.46284460872005
3,1,1,5.33800175199421,1.87233849336813,2.46748508274278
3.2,1,1,5.34424803775643,1.8724561181581,2.47209248195353
3.4,1,1,5.3502872450421,1.87313924871949,2.47612578024972
3.6,1,1,5.35251173844985,1.8729309976692,2.47931384965071
3.8,1,1,5.35468394974044,1.87324608430515,2.48202288924561
4,1,1,5.36041548513535,1.87487815543557,2.485064844225
4.2,0,0,4.21921058102685,1.35852291550896,2.48843676154167
4.4,0,0,4.18502445563025,1.33948524573767,2.49213492348731
4.6,0,0,4.1769540292849,1.33295412396264,2.4961548750057
4.8,0,0,4.1868343642807,1.33489756670856,2.50048370398676
5,0,0,4.19779163171892,1.33697091447797,2.50510556387142
5.2,0,0,4.23604958907008,1.35242449013343,2.50981286112309
5.4,1,1,5.41241693428237,1.88070394144728,2.51476094221034
5.6,1,1,5.44184300771291,1.89109463660111,2.51995032454273
5.8,1,1,5.45709040417318,1.8941213042172,2.52537456518032
6,1,1,5.51398096060785,1.91745749316985,2.53102692849886
6.2,1,1,5.50533194507822,1.90896056514264,2.53610776074846
6.4,1,1,5.49412975190476,1.90051768935823,2.54006963431209
6.6,1,1,5.50313551068013,1.90221727189003,2.54388463534903
6.8,1,1,5.5144260314431,1.90506993655197,2.54763871734377
7,1,1,5.51819309873147,1.90421920835706,2.55132730760086
7.2,1,1,5.50261194248092,1.89380192747887,2.55495175768934
7.4,1,1,5.50102715517105,1.89033657607926,2.55851761200461
7.6,1,1,5.50782227805569,1.89103978220762,2.56202393865375
7.8,1,1,5.51209458938518,1.89051375662803,2.56546529168066
8,1,1,5.51933138681458,1.89166216207455,2.56869080166167
8.2,1,1,5.53019578759755,1.89497043380207,2.57157186869994
8.4,1,1,5.54170308476203,1.89865907111898,2.57435277650041
8.6,1,1,5.59626542161467,1.92358327301211,2.57716752538455
8.8,1,1,5.56094168792944,1.90385646060769,2.58001428306184
9,0,0,4.40404093187632,1.37907815114188,2.58287249327491
9.2,0,0,4.40627723774754,1.37788265531852,2.58568390529905
9.4,1,1,5.68750086760309,1.95965558713388,2.58845966104431
9.6,1,1,5.77955457940038,2.00280322705248,2.59130510559532
9.8,0,0,4.42770302239999,1.38112687644565,2.59417660976513
10,1,1,5.57530290786821,1.89639080728147,2.59702102029356
10.2,1,1,5.59729787293846,1.90461233895559,2.59986914715077
10.4,1,1,5.68826849212826,1.94691728152023,2.60274513067139
10.6,1,1,5.61738682873455,1.9089035649451,2.60564810563644
10.8,1,1,5.62235992539376,1.90838496010339,2.60857614210044
11,1,1,5.62882088070619,1.90892564903207,2.61118467984566
11.2,1,1,5.63677322116472,1.910405790978,2.61357250633025
11.4,1,1,5.6493970115859,1.91438672911468,2.61575126437052
11.6,1,1,5.65770021922491,1.91624674064804,2.61785528677005
11.8,1,1,5.65793716704287,1.91412974188966,2.61988393804737
12,1,1,5.67452903311995,1.92014181195552,2.62183484554515
12.2,1,1,5.6772213821425,1.91929389983426,2.62370312371382
12.4,1,1,5.6512065337597,1.90426743270738,2.62547184555807
12.6,1,1,5.65682627900972,1.90496374849028,2.62714494483769
12.8,1,1,5.71268137474505,1.93062405985248,2.62870394278733
13,1,1,5.87060181499165,2.00688946068823,2.63018678958071
13.2,1,1,5.71094048303781,1.92577548855347,2.63159300306627
13.4,1,1,5.71404077722057,1.92534944845193,2.63292212768988
13.6,1,1,5.7107304433314,1.92176679127387,2.63417373463413
13.8,1,1,5.73232931049146,1.93122820462721,2.63479449632957
14,1,1,5.72190043883605,1.92495889432552,2.63523776002398
14.2,1,1,5.71875413045804,1.92229082179372,2.63562657299259
14.4,1,1,5.72155295332554,1.92243669976971,2.63606237282029
14.6,1,1,5.69070518317009,1.90577536237623,2.63654410310798
14.8,1,1,5.68727383392918,1.90257204100278,2.63707067489402
15,1,1,5.695585270256,1.90505994221383,2.63764096929831
15.2,1,1,5.70166291976822,1.90631342803506,2.63825384025844
15.4,1,1,5.70891088527374,1.90802109787739,2.63890811734246
15.6,1,1,5.73640012697613,1.91964504160859,2.63959554626751
