t,tx_x,tx_y,rx_x,rx_y,relay_available
0,1457.58565497389,-997.834352856745,1511.90416180674,-980.66020479396,0
0.2,1461.90990758438,-996.984772343536,1516.16573945333,-978.753476383969,0
0.4,1466.21680597125,-996.053552869387,1520.41786040762,-976.825856910252,0
0.6,1470.51186010098,-995.066806509837,1524.66990866604,-974.898270391849,0
0.8,1474.80691423071,-994.080060150288,1528.92185809849,-972.970728674349,0
1,1479.10196836044,-993.093313790739,1533.17368258571,-971.043243598428,0
1.2,1483.39002200518,-992.077196546097,1537.42535602216,-969.115826998548,0
1.4,1487.661298588,-990.999193494097,1541.67685231885,-967.188490701665,0
1.6,1491.71739021634,-989.276033879338,1545.92814540622,-965.261246525927,0
1.8,1495.77348184468,-987.552874264579,1550.17920923698,-963.334106279381,0
2,1499.82957347301,-985.829714649821,1554.43001778901,-961.407081758675,0
2.2,1503.88566510135,-984.106555035062,1558.67517459154,-959.468384788421,0
2.4,1507.94175672969,-982.383395420303,1562.88789837719,-957.461806762178,0
2.6,1511.98257549072,-980.625181763055,1567.08092340377,-955.414395479907,0
2.8,1516.00555787237,-978.826091706563,1571.27359417555,-953.367157176634,0
3,1520.01932609008,-977.006524986185,1575.46588518475,-951.320104307547,0
3.2,1524.03309430779,-975.186958265808,1579.65777096524,-949.273249307504,0
3.4,1528.0468625255,-973.36739154543,1583.59936674188,-946.84972002066,0
3.6,1532.06063074321,-971.547824825053,1587.09958030962,-943.768631234953,0
3.8,1536.07439896091,-969.728258104675,1590.38072009768,-940.454805345914,0
4,1540.08816717862,-967.908691384297,1593.66146320578,-937.141380088498,0
4.2,1544.10193539633,-966.08912466392,1596.94178988989,-933.828375403403,0
4.4,1548.11570361404,-964.269557943542,1600.22168045167,-930.515811185207,0
4.6,1552.12947183175,-962.449991223165,1603.5011152406,-927.203707280185,0
4.8,1556.14130469371,-960.626172157803,1606.78007465614,-923.892083484135,0
5,1560.14963888642,-958.794665850174,1610.05853914989,-920.580959540202,0
