t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.62350870360583,1.17887517992587,2.10028719922032
0.2,0,0,3.63353170421675,1.18083804479761,2.10490993161454
0.4,0,0,3.64597978021924,1.18396141993628,2.10956415780931
0.6,0,0,3.69362707043731,1.20461034812492,2.1142672029214
0.8,0,0,3.69849781394051,1.20373407618382,2.11907016988888
1,0,0,3.70972539023648,1.20590185514527,2.12397005755999
1.2,0,0,3.7163659144466,1.20569526086664,2.12892173192968
1.4,0,0,3.72879233239734,1.20835852178586,2.1338765587303
1.6,0,0,3.74396212132364,1.21298279661145,2.13832725930803
1.8,0,0,3.75707580362226,1.21658250273603,2.14275739502731
2,0,0,3.76451933083096,1.21735107208494,2.14716572443448
2.2,0,0,3.77102012396723,1.21765327374995,2.15155051270807
2.4,0,0,3.76904876085316,1.21373592513758,2.15590137262777
2.6,0,0,3.83771041871484,1.24514864712583,2.16021990922174
2.8,0,0,3.84555068257187,1.24616088666429,2.16450804567731
3,0,0,3.85447425854094,1.247721375965,2.16876793887019
3.2,0,0,3.86016935833188,1.2476732166054,2.17299958842645
3.4,0,0,3.86565920984826,1.24818111006978,2.17666213679365
3.6,0,0,3.86742659694777,1.24781314567193,2.17948462310986
3.8,0,0,3.86914149954413,1.24796027215428,2.18183341208797
4,0,0,3.87433465248949,1.24940476534653,2.18452061298456
4.2,0,0,3.86275716711541,1.24202459517167,2.18754343519805
4.4,0,0,3.82910754157123,1.22317236168374,2.1908983217835
4.6,0,0,3.82089993804138,1.21660940108305,2.19458097670428
4.8,0,0,3.83018405058194,1.21837505586738,2.19857864506528
5,0,0,3.84052958779423,1.22027223785571,2.20287563565743
5.2,0,0,3.87746752289485,1.23531639341489,2.20726450836941
5.4,0,0,3.92260605164141,1.25412267409518,2.21190076111128
5.6,1,1,5.05096906848613,1.76420133731735,2.21678506069173
5.8,1,1,5.06553872457749,1.76705020128237,2.22191111146987
6,1,1,5.12066935631289,1.78985354613746,2.22727232296317
6.2,1,1,5.11198259569413,1.78138822834095,2.23206918434972
