t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.2871259186856,1.0687889523704,1.80768880042417
0.2,0,0,3.29643348454676,1.07052968330093,1.81188166063284
0.4,0,0,3.30810408595846,1.0734112439952,1.81610837223166
0.6,0,0,3.35402748639309,1.0935042479015,1.82038644206469
0.8,0,0,3.35833438904122,1.0924611060344,1.82476715428932
1,0,0,3.3688317405089,1.09440889797726,1.82924768839769
1.2,0,0,3.37487056893635,1.09402666947959,1.8337830903859
1.4,0,0,3.38654311644169,1.09646417945088,1.83832490527754
1.6,0,0,3.40088032404401,1.10082738595387,1.84236603293314
1.8,0,0,3.41322100391494,1.10418609700475,1.84639021238786
2,0,0,3.42004888137725,1.10476634170245,1.85039637894852
2.2,0,0,3.42596392170413,1.10489040018649,1.85438297357766
2.4,0,0,3.42364002861459,1.10087269551833,1.85833978379649
2.6,0,0,3.49004678015581,1.13155104210311,1.86226858826645
2.8,0,0,3.49727927530583,1.13237812402826,1.86617148263456
3,0,0,3.50557104045598,1.13374568368464,1.87005079499761
3.2,0,0,3.51072691348536,1.13353572657871,1.87390669489938
3.4,0,0,3.51567920931287,1.13387231630622,1.87719849333759
3.6,0,0,3.51700112573635,1.13334851710487,1.879655396569
3.8,0,0,3.51827018555099,1.13333150540446,1.88164393493033
4,0,0,3.52293624701786,1.13459218431556,1.88397638174412
4.2,0,0,3.5112972912375,1.12719078751223,1.88665010885443
4.4,0,0,3.4781950911766,1.10852763218461,1.88966172007968
4.6,0,0,3.46986104580343,1.10193641120532,1.89300707840286
4.8,0,0,3.47855947593651,1.10352779137731,1.89667358614381
5,0,0,3.48830362273276,1.10525225418786,1.90064570744344
5.2,0,0,3.52393167027172,1.11989036788038,1.90471615561574
5.4,0,0,3.56755130730039,1.1382267861764,1.90904058001221
5.6,0,0,3.59486097761109,1.14799665415084,1.91361979684074
5.8,0,0,3.60876238400112,1.15067087802065,1.91844765775942
6,0,0,3.66214235770108,1.17294446766611,1.92351771742747
6.2,0,0,3.65342689010422,1.16451377280399,1.92803060795098
6.4,0,0,3.64227216470133,1.15613496953596,1.93143918302997
6.6,0,0,3.6502760850532,1.15754602061911,1.9347158054918
6.8,0,0,3.66046113879008,1.16007612005627,1.9379467007316
7,0,0,3.66353500011137,1.15904063085169,1.94112756310023
7.2,0,0,3.64829501611742,1.14878386640465,1.94426000624331
7.4,0,0,3.64633301350804,1.14524031415936,1.94734983155948
7.6,0,0,3.65232812505562,1.14572514409653,1.95039635898359
7.8,0,0,3.65595101325495,1.14503153253646,1.95339438911156
8,0,0,3.66239559061457,1.14595961151885,1.9561932936974
8.2,0,0,3.67228600066073,1.14897694167634,1.95866470855079
8.4,0,0,3.68280310381241,1.15236861461067,1.96105314751705
8.6,0,0,3.7341338532475,1.17625327569926,1.96349283539872
8.8,0,0,3.70032743131848,1.15707441432509,1.9659821586358
9,0,0,3.67423909590861,1.14171286982996,1.96850077386148
9.2,0,0,3.67606049207091,1.14042661327748,1.97099063731433
9.4,1,1,4.88964074206808,1.70150134325999,1.97346309185491
9.6,1,1,4.97660296755884,1.74300753439674,1.9760236774222
9.8,0,0,3.69560462659801,1.14320912125323,1.97862895350604
10,0,0,3.71235783563846,1.1491535083559,1.98122594926622
10.2,0,0,3.73301416392682,1.15699520595704,1.98384565075884
10.4,0,0,3.8190437765397,1.19772417769103,1.98651236799536
10.6,0,0,3.75175591619991,1.16098407739417,1.98922539895159
10.8,0,0,3.75635903623568,1.16042243487196,1.9919829703241
11,0,0,3.76238487898256,1.1608898058186,1.99444067191596
11.2,0,0,3.76984033715577,1.16227128356823,1.99669743451858
11.4,0,0,3.78173883173585,1.16607313502325,1.99876503752998
11.6,0,0,3.78956588392763,1.16783799348613,2.00077794352213
11.8,0,0,3.78977289427319,1.16577546644716,2.00273563990929
12,0,0,3.80549702801624,1.17156355953573,2.00463587000005
12.2,0,0,3.80807460443075,1.17074330646959,2.00647385722624
12.4,0,0,3.78347608211115,1.15625488457579,2.00823277653708
12.6,0,0,3.78887071124799,1.15694228663516,2.00991665655002
12.8,0,0,3.841880690516,1.18171984763512,2.01150710622302
13,1,1,5.06191217127181,1.74632218310482,2.01304215627359
13.2,0,0,3.84048329435876,1.1771199117004,2.01452139787183
13.4,0,0,3.84358090845928,1.1767614834491,2.01594444152288
13.6,0,0,3.84062794973285,1.17336740726378,2.0173109171686
13.8,0,0,3.86127859203777,1.18256196039491,2.0180675486635
14,0,0,3.85160520670545,1.17659083130127,2.01866772731141
14.2,0,0,3.84885539739424,1.17410313686144,2.01923453704547
14.4,0,0,3.85176555731062,1.17434009042769,2.01986944468275
14.6,0,0,3.82282569869989,1.15837440189314,2.02057141560556
14.8,0,0,3.81988810229917,1.15540101919986,2.02133937516031
15,0,0,3.82810322779477,1.15792780566064,2.02217221128176
15.2,0,0,3.83422935558688,1.15927403018536,2.02306877721174
15.4,0,0,3.84149154957031,1.16106856616179,2.02402789429724
15.6,0,0,3.86795771115866,1.17243883130333,2.02504129249682
15.8,0,0,3.84812527612792,1.16036752962355,2.02607807023563
16,0,0,3.86047750516386,1.16465896150407,2.02697092738898
16.2,0,0,3.89122807562129,1.17822805706617,2.02782734019543
16.4,1,1,5.22451097207548,1.7999240782132,2.02869490739624
16.6,1,1,5.0475929570117,1.7085728449331,2.02957292402252
16.8,0,0,3.90357353051971,1.17823684484203,2.03046069721872
17,0,0,3.906042045178,1.17745617860658,2.03121559998746
17.2,0,0,3.90905622834344,1.17751023559623,2.03146034249746
17.4,0,0,3.91208241000264,1.1776176059874,2.03162428139938
