t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,2.30987485409995,0.81592544009002,2.20091668583197
0.2,0,0,2.31486937732323,0.816072815712458,2.20616201010962
0.4,0,0,2.32053775955227,0.816558713009918,2.21139230079999
0.6,0,0,2.32666032946635,0.817276516772148,2.21660263267262
0.8,0,0,2.35972600088917,0.831472668566711,2.22178958587892
1,0,0,2.35371959481889,0.82613887258813,2.22695301561312
1.2,0,0,2.34785132805289,0.820874437900968,2.23209897307949
1.4,0,0,2.35279621062216,0.821017162608746,2.23722610585995
1.6,0,0,2.36305904466112,0.823819824780857,2.24233296382409
1.8,0,0,2.37333306377,0.826629545702124,2.2474179465269
2,0,0,2.37207406339966,0.823674748032955,2.25247943371522
2.2,0,0,2.37929816886628,0.824962978311125,2.25751707634417
2.4,0,0,2.38646309173827,0.826223383837496,2.26252954918251
2.6,0,0,2.39347436100619,0.82741132464613,2.2675127317746
2.8,0,0,2.40320986047345,0.829967315392111,2.27246375375433
3,0,0,2.41270760454304,0.832409259152655,2.27738300636034
3.2,0,0,2.42181782748807,0.834661471499712,2.28227052019999
3.4,0,0,2.42789044901543,0.835399182399937,2.28712503046221
3.6,0,0,2.43366030794493,0.835990080366209,2.29194528151677
3.8,0,0,2.44008698983609,0.836920414410747,2.29672250332063
4,0,0,2.44709013737384,0.838147368269433,2.30145899137116
4.2,0,0,2.47677892693859,0.850725373121379,2.30615403409693
4.4,0,0,2.49951678224601,0.859834776323195,2.31080839741829
4.6,0,0,2.46524454582999,0.840446247003338,2.31542089652667
4.8,0,0,2.46967306546178,0.840415460085311,2.31999035277734
5,0,0,2.47489560218789,0.840789297428507,2.32451559752379
5.2,0,0,2.49161880462676,0.846921361139234,2.32899544063941
5.4,0,0,2.48782567431859,0.842803363555532,2.33342878354454
5.6,0,0,2.49443932094622,0.843897100701187,2.33781450299853
5.8,0,0,2.50098432539516,0.844965105708789,2.34215148559528
6,0,0,2.50707740986821,0.845815981427705,2.34643863105877
6.2,0,0,2.51354863356398,0.846864998236809,2.35067485258901
6.4,0,0,2.52000125751618,0.847914026437757,2.35485907720371
6.6,0,0,2.5264051250357,0.848948226449674,2.35899024607588
6.8,0,0,2.53403149111411,0.850603463484794,2.36306731486692
7,0,0,2.5410477252396,0.851963658930311,2.36708925405534
7.2,0,0,2.5453137349894,0.851959002118654,2.37105504926098
