t,n_sat,dop,sigma_pos,dt_upd
0,9.96575420534703,1.94311140929741,1.74311140929741,0.352454606447199
0.2,9.96575420534703,1.94383518705913,1.74383518705913,0.352602651898459
0.4,9.96444457011807,1.94455548643506,1.74455548643506,0.352749985861717
0.6,9.96314153929963,1.9452721533852,1.7452721533852,0.352896576828791
0.8,9.96184539197952,1.94598503441126,1.74598503441126,0.353042393402304
1,9.96055640619119,1.94669397659485,1.74669397659485,0.353187404303491
1.2,9.95796030372854,1.9481218329493,1.7481218329493,0.353479465830539
1.4,9.95538455495037,1.9495384947773,1.7495384947773,0.353769237568083
1.6,9.9528302734858,1.95094334958281,1.75094334958281,0.354056594232848
1.8,9.95029856769827,1.95233578776595,1.75233578776595,0.354341411133944
2,9.94779054027041,1.95371520285127,1.75371520285127,0.354623564219578
2.2,9.94530728779043,1.95508099171527,1.75508099171526,0.354902930123577
2.4,9.94284990034027,1.95643255481285,1.75643255481285,0.35517938621172
2.6,9.94041946108567,1.95776929640288,1.75776929640288,0.355452810627863
2.8,9.93801704586819,1.9590906247725,1.7590906247725,0.355723082339829
3,9.93564372279944,1.96039595246031,1.76039595246031,0.355990081185063
3.2,9.93330055185759,1.96168469647833,1.76168469647833,0.356253687916021
3.4,9.93098858448634,1.96295627853251,1.76295627853251,0.356513784245287
3.6,9.92870886319649,1.96421012524193,1.76421012524193,0.356770252890395
3.8,9.92646242117025,1.96544566835636,1.76544566835636,0.357022977618347
4,9.92425028186841,1.96666234497238,1.76666234497238,0.357271843289804
4.2,9.92207345864052,1.96785959774772,1.76785959774772,0.357516735902942
4.4,9.91993295433825,1.96903687511396,1.76903687511396,0.357757542636947
4.6,9.91782976093204,1.97019363148738,1.77019363148738,0.357994151895146
4.8,9.91576485913113,1.97132932747788,1.77132932747788,0.358226453347748
5,9.91373921800723,1.97244343009602,1.77244343009602,0.358454337974186
5.2,9.91175379462184,1.97353541295799,1.77353541295799,0.358677698105043
5.4,9.90980953365738,1.97460475648844,1.77460475648844,0.358896427463544
5.6,9.90790736705238,1.97565094812119,1.77565094812119,0.359110421206607
5.8,9.90604821364064,1.97667348249765,1.77667348249765,0.359319575965428
6,9.90423297879471,1.97767186166291,1.77767186166291,0.359523789885595
6.2,9.90246255407367,1.97864559525948,1.77864559525948,0.359722962666712
6.4,9.90073781687544,1.97959420071851,1.77959420071851,0.359916995601513
6.6,9.89905963009361,1.98051720344851,1.78051720344851,0.360105791614468
6.8,9.8974288417791,1.9814141370215,1.7814141370215,0.360289255299852
7,9.89584628480655,1.9822845433564,1.7822845433564,0.360467292959263
7.2,9.89431277654582,1.9831279728998,1.7831279728998,0.360639812638595
7.4,9.89282911853847,1.98394398480384,1.78394398480384,0.360806724164422
7.6,9.89139609617946,1.9847321471013,1.7847321471013,0.360967939179811
7.8,9.89001447840423,1.98549203687767,1.78549203687767,0.361123371179524
8,9.88868501738114,1.98622324044037,1.78622324044037,0.361272935544621
8.2,9.88740844820953,1.98692535348476,1.78692535348476,0.361416549576428
8.4,9.88618548862334,1.98759798125716,1.78759798125716,0.361554132529874
8.6,9.88501683870061,1.98824073871466,1.78824073871466,0.361685605646181
8.8,9.88390318057876,1.98885325068168,1.78885325068168,0.36181089218489
9,9.88284517817585,1.98943515200328,1.78943515200328,0.361929917455217
9.2,9.88184347691799,1.98998608769511,1.78998608769511,0.362042608846726
9.4,9.88089870347285,1.99050571308993,1.79050571308993,0.362148895859304
9.6,9.88001146548947,1.99099369398079,1.79099369398079,0.362248710132434
9.8,9.87918235134444,1.99144970676056,1.79144970676056,0.36234198547375
10,9.87841192989454,1.991873438558,1.791873438558,0.362428657886864
10.2,9.87770075023595,1.99226458737023,1.79226458737023,0.362508665598455
10.4,9.87704934147009,1.99262286219145,1.79262286219145,0.362581949084614
10.6,9.8764582124762,1.99294798313809,1.79294798313809,0.362648451096428
10.8,9.8759278516907,1.99323968157012,1.79323968157012,0.362708116684796
11,9.87545872689354,1.99349770020855,1.79349770020855,0.362760893224477
11.2,9.87505128500143,1.99372179324921,1.79372179324921,0.362806730437339
11.4,9.87470595186817,1.99391172647251,1.79391172647251,0.362845580414831
11.6,9.87442313209213,1.99406727734933,1.79406727734933,0.362877397639635
11.8,9.87420320883092,1.99418823514299,1.79418823514299,0.362902139006521
12,9.87404654362332,1.99427440100718,1.79427440100718,0.362919763842377
12.2,9.87395347621856,1.99432558807979,1.79432558807979,0.362930233925412
12.4,9.87392432441307,1.99434162157281,1.79434162157281,0.36293351350353
12.6,9.8739593838946,1.99432233885797,1.79432233885797,0.362929569311857
12.8,9.87405892809399,1.9942675895483,1.7942675895483,0.362918370589426
13,9.87422320804442,1.99417723557557,1.79417723557557,0.362899889095003
13.2,9.87445245224839,1.99405115126339,1.79405115126339,0.362874099122056
13.4,9.87474686655238,1.99388922339619,1.79388922339619,0.362840977512857
13.6,9.87510663402925,1.99369135128391,1.79369135128391,0.36280050367171
13.8,9.87553191486844,1.99345744682236,1.79345744682236,0.3627526595773
14,9.87602284627405,1.99318743454927,1.79318743454927,0.362697429794169
14.2,9.87657954237076,1.99288125169608,1.79288125169608,0.362634801483289
14.4,9.8772020941177,1.99253884823526,1.79253884823526,0.362564764411758
14.6,9.87789056923029,1.99216018692334,1.79216018692334,0.362487310961592
14.8,9.87864501211007,1.99174524333946,1.79174524333946,0.362402436137618
15,9.87946544378255,1.9912940059196,1.7912940059196,0.362310137574463
15.2,9.88035186184319,1.99080647598625,1.79080647598625,0.362210415542642
15.4,9.88130424041131,1.99028266777378,1.79028266777378,0.362103272953727
15.6,9.88232253009232,1.98972260844922,1.78972260844922,0.361988715364614
15.8,9.88340665794788,1.98912633812867,1.78912633812867,0.361866750980864
16,9.88455652747434,1.98849390988911,1.78849390988911,0.361737390659136
16.2,9.88577201858931,1.98782538977588,1.78782538977588,0.361600647908702
16.4,9.88705298762636,1.9871208568055,1.7871208568055,0.361456538892035
16.6,9.88839926733796,1.98638040296412,1.78638040296412,0.36130508242448
16.8,9.8898106669066,1.98560413320137,1.78560413320137,0.361146299973007
17,9.8912869719641,1.98479216541975,1.78479216541975,0.360980215654039
17.2,9.8928279446191,1.9839446304595,1.7839446304595,0.360806856230352
17.4,9.89443332349276,1.98306167207898,1.78306167207898,0.360626251107065
17.6,9.89610282376269,1.98214344693052,1.78214344693052,0.360438432326698
17.8,9.89783613721497,1.98119012453177,1.78119012453177,0.360243434563316
18,9.89963293230446,1.98020188723255,1.78020188723255,0.360041295115748
18.2,9.90149285422317,1.97917893017726,1.77917893017726,0.359832053899893
18.4,9.90341552497683,1.97812146126275,1.77812146126275,0.359615753440107
18.6,9.90540054346956,1.97702970109174,1.77702970109174,0.359392438859674
18.8,9.90744748559671,1.97590388292181,1.77590388292181,0.35916215787037
19,9.90955590434567,1.97474425260988,1.77474425260988,0.358924960761112
19.2,9.91172532990483,1.97355106855234,1.77355106855234,0.358680900385707
19.4,9.91395526978052,1.97232460162071,1.77232460162071,0.358430032149691
19.6,9.91624520892198,1.97106513509291,1.77106513509291,0.358172413996277
19.8,9.91859460985423,1.96977296458017,1.76977296458017,0.357908106391399
20,9.92100291281891,1.9684483979496,1.7684483979496,0.357637172307873
20.2,9.923469535923,1.96709175524235,1.76709175524235,0.357359677208663
20.4,9.92599387529532,1.96570336858757,1.76570336858757,0.357075689029276
20.6,9.92857530525093,1.96428358211199,1.76428358211199,0.35678527815927
20.8,9.93121317846313,1.96283275184528,1.76283275184528,0.356488517422897
21,9.93390682614327,1.9613512456212,1.7613512456212,0.356185482058882
21.2,9.93665555822814,1.95983944297452,1.75983944297452,0.355876249699334
21.4,9.93945866357496,1.95829773503377,1.75829773503377,0.355560900347817
21.6,9.94231541016387,1.95672652440987,1.75672652440987,0.355239516356565
21.8,9.94522504530791,1.95512622508065,1.75512622508065,0.35491218240286
22,9.94818679587037,1.9534972622713,1.7534972622713,0.354578985464583
22.2,9.95119986848949,1.95184007233078,1.75184007233078,0.354240014794933
22.4,9.95426344981037,1.9501551026043,1.7501551026043,0.353895361896333
22.6,9.95737670672416,1.94844281130171,1.74844281130171,0.353545120493532
22.8,9.96053878661426,1.94670366736216,1.74670366736216,0.353189386505896
23,9.96374881760962,1.94493815031471,1.74493815031471,0.352828258018918
23.2,9.96700590884496,1.94314675013527,1.74314675013527,0.352461835254942
23.4,9.9703091507279,1.94132996709965,1.74132996709965,0.352090220543111
23.6,9.97365761521287,1.93948831163292,1.73948831163292,0.351713518288552
23.8,9.97705035608168,1.93762230415508,1.73762230415508,0.351331834940811
24,9.98048640923076,1.93573247492308,1.73573247492308,0.35094527896154
24.2,9.9839647929649,1.93381936386931,1.73381936386931,0.350553960791449
24.4,9.98748450829742,1.93188352043642,1.73188352043642,0.35015799281654
24.6,9.99104453925668,1.92992550340883,1.72992550340883,0.349757489333624
24.8,9.99464385319882,1.92794588074065,1.72794588074065,0.349352566515133
25,9.99828140112663,1.92594522938036,1.72594522938036,0.348943342373255
25.2,10.0019561180145,1.92392413509205,1.72392413509205,0.348529936723373
25.4,10.0056669231391,1.9218831922735,1.7218831922735,0.348112471146852
25.6,10.0094127204164,1.91982300377101,1.71982300377101,0.34769106895316
25.8,10.0131923987435,1.91774418069106,1.71774418069106,0.347265855141353
26,10.0170048323473,1.91564734220897,1.71564734220897,0.346836956360925
26.2,10.0208488811374,1.91353311537444,1.71353311537444,0.346404500872045
26.4,10.024723391065,1.91140213491424,1.71140213491424,0.345968618505186
26.6,10.0286271944875,1.9092550430319,1.7092550430319,0.345529440620161
26.8,10.032559110537,1.90709248920463,1.70709248920463,0.345087100064584
27,10.0365179454954,1.90491512997752,1.70491512997752,0.344641731131764
27.2,10.0405024931729,1.90272362875491,1.70272362875491,0.34419346951805
27.4,10.0445115352922,1.90051865558932,1.70051865558932,0.343742452279633
27.6,10.0485438418771,1.89830088696762,1.69830088696762,0.343288817788832
27.8,10.0525981716456,1.8960710055949,1.6960710055949,0.342832705689866
28,10.0566732724077,1.89382970017577,1.69382970017577,0.342374256854136
28.2,10.0607678814665,1.89157766519343,1.69157766519343,0.341913613335019
28.4,10.0648807260248,1.88931560068635,1.68931560068636,0.341450918322209
28.6,10.0690105235947,1.88704421202291,1.68704421202291,0.340986316095596
28.8,10.0731559824114,1.88476420967374,1.68476420967374,0.340519951978719
29,10.0773158018507,1.8824763089821,1.6824763089821,0.340051972291793
29.2,10.0814886728503,1.88018122993233,1.68018122993232,0.339582524304339
29.4,10.0856732783341,1.87787969691626,1.67787969691626,0.339111756187417
