t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.83677758819181,1.28556870937232,2.26770351708052
0.2,0,0,3.84401799497032,1.28825943238257,2.27083080653187
0.4,0,0,3.86231037659742,1.29492940005339,2.27487596771257
0.6,1,1,5.03057918314638,1.8211268693483,2.2786085521774
0.8,1,1,5.02897532824097,1.81766243353003,2.2827923771965
1,1,1,5.05002379706463,1.82117829043171,2.28960028047139
1.2,1,1,5.07312203402391,1.82392296723773,2.29750134548386
1.4,1,1,5.08737333026786,1.82277186700939,2.30507880999362
1.6,1,1,5.09809234035461,1.82495914329234,2.30947031300619
1.8,1,1,5.12183762331841,1.83308249260874,2.31416363729349
2,1,1,5.12729969046447,1.83163334079993,2.31915213995906
2.2,1,1,5.12810124006285,1.82737344446934,2.32442848954452
2.4,0,0,3.9793351702067,1.30425981901057,2.3296844126489
2.6,1,1,5.16248974358588,1.83594509979602,2.33438188146417
2.8,0,0,4.00068236928335,1.30804541065387,2.33854179124911
3,0,0,4.01089681465349,1.31012690544298,2.34267029074952
3.2,0,0,4.01782272098235,1.31058470180177,2.3467660869197
3.4,1,1,5.25464503690569,1.8697082795354,2.35082789579243
3.6,1,1,5.17958017819901,1.82954360840508,2.35485444291735
3.8,0,0,4.02040807316886,1.30298303226734,2.3588444637963
4,0,0,4.03037990518202,1.30497952501829,2.36279670431567
4.2,0,0,4.05439344932259,1.31394371714314,2.36670992117564
4.4,0,0,4.06890322499045,1.31820647369181,2.37058288231597
4.6,0,0,4.08051913097915,1.32104421576251,2.37441436733837
4.8,0,0,4.09025965227632,1.32296215533216,2.37820316792524
5,1,1,5.22963701315495,1.83385889392595,2.38194808825465
5.2,1,1,5.23986794901011,1.83659874145371,2.38530073168389
5.4,1,1,5.25028476281699,1.83957488211582,2.38852428317189
5.6,1,1,5.26123827069004,1.84278747964737,2.3917258966633
5.8,1,1,5.26942884253099,1.84444233897104,2.39500348996231
6,1,1,5.28191396536496,1.84803968404103,2.398354700294
6.2,1,1,5.27338067286263,1.84116380613936,2.40169789946765
6.4,1,1,5.29070434838162,1.84702607494117,2.40504526449531
6.6,1,1,5.30256009818758,1.85007635795864,2.40841148258672
6.8,1,1,5.33358121654048,1.86226765840179,2.41195479319528
7,1,1,5.34640473127662,1.86508755932904,2.41567106692569
7.2,1,1,5.33215042952552,1.85414070509156,2.41955588793954
7.4,1,1,5.33965475037805,1.8549783866507,2.42277061147318
7.6,1,1,5.35129904071561,1.85794706013915,2.4258876110963
7.8,1,1,5.36572010345711,1.86232606084857,2.42893416478548
8,1,1,5.37213302182344,1.86272366460131,2.43193848883218
8.2,1,1,5.36533808347762,1.85656350962405,2.43489943680536
8.4,1,1,5.37119504609428,1.85671008112726,2.43778651710353
8.6,1,1,5.37798770406834,1.85739500716961,2.4405751777022
8.8,1,1,5.38609965416791,1.85878604087117,2.44327867585269
9,1,1,5.39411174016257,1.86014569783049,2.44591760112
9.2,1,1,5.40041712368579,1.86067796497605,2.44849110780247
9.4,1,1,5.48773497932991,1.90138034100281,2.45099837059409
9.6,1,1,5.49644458313028,1.9031422306939,2.45343858487618
9.8,1,1,5.42032215424161,1.86287936784592,2.45581096700231
10,1,1,5.43465872503679,1.86746954634238,2.45811475457636
10.2,1,1,5.53590207693693,1.91515256686334,2.46034920672357
10.4,1,1,5.70638087552275,1.99717053358071,2.4625136043546
10.6,1,1,5.46256907128827,1.87387942175251,2.46460725042232
10.8,1,1,5.46955103631032,1.87493210758065,2.46661419733353
11,1,1,5.47851076112949,1.87727152799854,2.46837183637067
11.2,1,1,5.49921804756619,1.88564693837279,2.46993748451197
11.4,1,1,5.50615396513512,1.88711055996551,2.47149741583905
11.6,1,1,5.50928775650071,1.88660456478249,2.47305047577206
11.8,1,1,5.5084280295453,1.88403535117482,2.47459551599691
12,1,1,5.50781011897612,1.88175343946916,2.47597581113136
12.2,1,1,5.51313413327963,1.88343382417816,2.47666238317431
12.4,1,1,5.52211119903109,1.88660643117967,2.47748571897877
12.6,1,1,5.53391313870773,1.89071365001023,2.47853706349513
12.8,1,1,5.63982146284987,1.94096656905912,2.47983462767131
13,1,1,5.77925942437171,2.00734746561178,2.48137492270775
13.2,1,1,5.53526640149148,1.88352569824849,2.4829570236971
13.4,1,1,5.54219903004245,1.88419008098073,2.48440031884919
13.6,1,1,5.58364809214189,1.90240366363553,2.48550595187325
13.8,1,1,5.74146622778646,1.97816285269129,2.48662909594437
14,1,1,5.57723918675686,1.89418337110876,2.48776846817498
14.2,1,1,5.57853296644907,1.89211375048454,2.48892277844931
14.4,1,1,5.57847052351166,1.88924861411533,2.49009073224125
14.6,1,1,5.58355732139865,1.8896491323716,2.49075168125225
14.8,1,1,5.58811728787407,1.88996147286842,2.4912418804322
15,1,1,5.59253496012373,1.89023362100676,2.49165000627377
15.2,1,1,5.59681835438885,1.89046657809248,2.49197790926226
15.4,1,1,5.58623995585244,1.88336133610589,2.49222547841349
15.6,1,1,5.59010401237831,1.88344182919035,2.49239262865849
15.8,1,1,5.5993273992632,1.88620650145117,2.49247930088987
16,1,1,5.60860237801283,1.8890249419986,2.49248546199938
16.2,1,1,5.61221182399169,1.88906383514006,2.49241110490679
16.4,1,1,5.61568421488524,1.88906338599093,2.49225624858005
16.6,1,1,5.61881253078989,1.88899781388517,2.49197326918987
16.8,1,1,5.62315729861871,1.88968525442823,2.49153453949018
17,1,1,5.62734026350155,1.89057534262496,2.49085770997525
17.2,1,1,5.72998260451767,1.94020441181365,2.49015581386504
17.4,1,1,5.6511835372551,1.89984923858543,2.48942864775848
17.6,1,1,5.62545890586635,1.88574090455289,2.48867602627717
17.8,1,1,5.62195380031091,1.88266530754373,2.48784963093259
18,1,1,5.64816321887943,1.89436221121385,2.48693416343143
18.2,1,1,5.65104550595845,1.89445350117306,2.48598575656596
18.4,1,1,5.63703909218194,1.88604495217016,2.48505778524296
18.6,1,1,5.64237217473865,1.88709318520417,2.48414984764132
18.8,1,1,5.64365922844051,1.88600922353975,2.48326153017295
19,1,1,5.64526803749395,1.8849591898272,2.48239240934205
19.2,1,1,5.64823219312146,1.8845916472705,2.48145815781044
19.4,1,1,5.65119591331624,1.88462846915123,2.48021428673058
19.6,1,1,5.65416411071084,1.88480820252701,2.47882542872859
19.8,1,1,5.6579646344679,1.8854470324644,2.47735063661366
20,1,1,5.65698954747911,1.88373893835728,2.47580700677116
20.2,1,1,5.65171170585467,1.87991842604167,2.47419500321643
20.4,1,1,5.6494107723252,1.87761958834601,2.47249893326759
20.6,1,1,5.65308276960609,1.87832894117823,2.47071838075455
20.8,1,1,5.6535147796315,1.87748718416739,2.46884974176875
21,1,1,5.65381101774549,1.87660953042771,2.46690814493055
21.2,1,1,5.65281418664168,1.87512678761478,2.46489152324245
21.4,1,1,5.67282089423166,1.88409264489267,2.46279864053177
21.6,1,1,5.73452728868837,1.91382723128783,2.46059117365855
21.8,1,1,5.66997852228937,1.88100487692373,2.45832219926067
22,1,1,5.66865734664387,1.87953681204713,2.45599238927109
22.2,1,1,5.66663001348127,1.87773640285702,2.45360243980344
22.4,1,1,5.76874391996747,1.92758744432797,2.45114099708729
22.6,1,1,5.66842399528077,1.87800590581318,2.44807381842958
22.8,1,1,5.65716746687904,1.8730003628479,2.44468957582952
23,1,1,5.65549552865795,1.87248358862534,2.44142206675856
23.2,1,1,5.65338464228503,1.87148817591934,2.43827186945424
23.4,1,1,5.64166166755307,1.86546844521219,2.43523942158661
23.6,1,1,5.63088218659337,1.85968648058763,2.43230661310298
23.8,1,1,5.62922088841695,1.85832681419817,2.42939161929138
24,1,1,5.6279640410657,1.85701844336917,2.42652790520145
24.2,1,1,5.62790024372911,1.85616393357712,2.42370912021695
24.4,1,1,5.64036075891873,1.86152779732725,2.42084383370311
24.6,1,1,5.64425334343289,1.86243276361638,2.41807207974326
24.8,1,1,5.64217864209265,1.86016918114804,2.415393963028
25,1,1,5.64079509012029,1.8580444405113,2.4128059174865
25.2,1,1,5.63856070769606,1.85539914417903,2.41024375455566
25.4,1,1,5.63756005578857,1.85412648861422,2.40717355372794
25.6,1,1,5.63748618571515,1.8537781526883,2.40378059744534
25.8,1,1,5.69126717470051,1.88014686074673,2.40033925856912
26,1,1,5.66496725561555,1.86685153671108,2.39685065133139
26.2,1,1,5.61862050886999,1.84364610570744,2.39331590741016
26.4,1,1,5.61528619471146,1.84178764637695,2.38973379641143
26.6,1,1,5.62545498284962,1.84668083978392,2.38608674818077
26.8,1,1,5.63394001487207,1.85077201952282,2.38239255174212
27,1,1,5.60848775830334,1.83807465794629,2.37865302610617
27.2,1,1,5.6044572118851,1.83610469129593,2.37482018608517
27.4,1,1,5.59890837615238,1.83354941047639,2.37085988431489
27.6,1,1,5.59459242765423,1.83174613118405,2.36678960629865
27.8,1,1,5.59071378081511,1.83013657890017,2.36271252956618
28,0,0,4.45325459143684,1.31757420700948,2.3586339237134
28.2,0,0,4.44227807855369,1.31238771842349,2.35455499836918
28.4,0,0,4.43482110215341,1.30896453675341,2.35044679746616
28.6,0,0,4.43017731495746,1.30693893072097,2.34632028525233
28.8,0,0,4.42567522240722,1.30496923187781,2.34218766282895
29,0,0,4.42179546035301,1.30324538637026,2.33808019736228
29.2,0,0,4.43853139502912,1.31167651922497,2.33399911347571
29.4,1,1,5.57592414951489,1.82456320240876,2.3299456387628
29.6,0,0,4.4188330801842,1.30199927792597,2.32592100349361
29.8,0,0,4.41530756056004,1.30020120327543,2.32192644032165
30,0,0,4.41784096864942,1.30136666740858,2.31794893950497
30.2,1,1,5.66337394144676,1.86811185053498,2.31370008550176
30.4,0,0,4.40399825875924,1.29523254094344,2.30941273786522
30.6,0,0,4.40054543257478,1.29395465605012,2.30509505277289
30.8,0,0,4.39496472921654,1.29164712324091,2.30075959165319
31,0,0,4.40255941685659,1.29589390168764,2.29640804836848
31.2,0,0,4.38837026964888,1.28937602233501,2.29203709244571
31.4,0,0,4.37908265300416,1.28532190802817,2.28764637999401
31.6,0,0,4.37344946659177,1.28311344183426,2.28323724858733
31.8,0,0,4.36764478800407,1.28084671485552,2.27881581572331
32,0,0,4.36137897895317,1.27845535466891,2.27433539945343
32.2,0,0,4.35514259402264,1.27623307143524,2.26976586194853
32.4,0,0,4.35257170358084,1.27595800439784,2.26512343472571
32.6,0,0,4.34680850518645,1.27406838438696,2.26051077958637
32.8,0,0,4.3360313446062,1.26966114449953,2.25592936158433
