t,tx_x,tx_y,rx_x,rx_y,relay_available
0,-1190.26541250744,617.941499900765,-1155.21503187877,594.897566102094,0
0.2,-1186.19146408262,616.219513387264,-1152.51140919726,591.153190594533,0
0.4,-1182.11751565779,614.497526873762,-1149.90226271445,587.342662263651,0
0.6,-1178.04356723296,612.775540360261,-1147.80766236591,583.269871255305,0
0.8,-1173.96961880813,611.053553846759,-1146.30080712035,578.903679806172,0
1,-1169.8956703833,609.331567333258,-1144.79391506921,574.537381710963,0
1.2,-1165.97523304432,607.314230737004,-1143.28699322754,570.170997296146,0
1.4,-1162.37311460383,604.811134966582,-1141.78004861366,565.804546897655,0
1.6,-1159.78394013988,601.225264233259,-1140.27308824838,561.438050858657,0
1.8,-1157.19476567594,597.639393499937,-1138.76611915424,557.071529527327,0
2,-1154.605591212,594.053522766614,-1137.25914835473,552.705003254613,0
2.2,-1152.01641674805,590.467652033292,-1135.75218287354,548.338492392003,0
2.4,-1149.53892141648,586.803838341395,-1134.24522973377,543.972017289296,0
2.6,-1147.65953609945,582.840667693848,-1132.73829595716,539.605598292372,0
2.8,-1146.21661420191,578.65972644594,-1131.23138856335,535.239255740955,0
3,-1144.77369230438,574.478785198033,-1129.72451456905,530.873009966387,0
3.2,-1143.33077040685,570.297843950126,-1128.21768098735,526.506881289399,0
3.4,-1141.88784850931,566.116902702218,-1126.71089482687,522.140890017877,0
3.6,-1140.44492661178,561.935961454311,-1125.20416309105,517.775056444644,0
3.8,-1139.00200471424,557.755020206404,-1123.69749277736,513.409400845225,0
4,-1137.55908281671,553.574078958496,-1122.19089087654,509.043943475632,0
4.2,-1136.11616091917,549.393137710589,-1120.6843643718,504.678704570136,0
4.4,-1134.67323902164,545.212196462682,-1119.17792023812,500.313704339052,0
4.6,-1133.2303171241,541.031255214774,-1117.67156544142,495.948962966521,0
4.8,-1131.78739522657,536.850313966867,-1116.16530693784,491.584500608299,0
5,-1130.34447332903,532.669372718959,-1114.65915167294,487.220337389544,0
5.2,-1128.9015514315,528.488431471052,-1113.72486796191,482.707052655079,0
5.4,-1127.45862953396,524.307490223145,-1112.98062668919,478.152042471091,0
5.6,-1126.01570763643,520.126548975237,-1112.3115462049,473.585116300245,0
5.8,-1124.57278573889,515.94560772733,-1111.64252388406,469.018587134191,0
6,-1123.12986384136,511.764666479423,-1110.97356278429,464.45247584333,0
6.2,-1121.68694194383,507.583725231515,-1110.39318015039,459.875532638145,0
6.4,-1120.24402004629,503.402783983608,-1109.92684701231,455.285660693703,0
6.6,-1118.80109814876,499.221842735701,-1109.59555096296,450.684110052463,0
6.8,-1117.35817625122,495.040901487793,-1109.26429126582,446.083064326877,0
7,-1115.91525435369,490.859960239886,-1108.93306941734,441.482544301743,0
7.2,-1114.47233245615,486.679018991979,-1108.60188690979,436.88257070421,0
7.4,-1113.65736750797,482.333949212381,-1108.27074523115,432.283164201505,0
7.6,-1112.95366006982,477.967977081903,-1107.9396458649,427.684345398668,0
7.8,-1112.31252026221,473.591764899212,-1107.60859028991,423.086134836289,0
8,-1111.6713804546,469.215552716521,-1107.27757998022,418.488552988259,0
8.2,-1111.03024064699,464.83934053383,-1106.94661640492,413.891620259523,0
8.4,-1110.45586616201,460.454627045829,-1106.61570102797,409.295356983843,0
8.6,-1109.98239231921,456.057159608634,-1106.28483530804,404.699783421568,0
8.8,-1109.66477859788,451.645650247332,-1105.95402069838,400.104919757411,0
9,-1109.34716487654,447.23414088603,-1105.6232586466,395.510786098237,0
9.2,-1109.02955115521,442.822631524727,-1105.29255059456,390.91740247086,0
9.4,-1108.71193743387,438.411122163425,-1104.96189797822,386.324788819842,0
9.6,-1108.39432371254,433.999612802123,-1104.63130222742,381.732965005309,0
9.8,-1108.07670999121,429.58810344082,-1104.3007647658,377.141950800773,0
10,-1107.75909626987,425.176594079518,-1103.97028701059,372.551765890963,0
10.2,-1107.44148254854,420.765084718215,-1103.63987037248,367.962429869666,0
10.4,-1107.12386882721,416.353575356913,-1103.30951625544,363.37396223758,0
10.6,-1106.80625510587,411.942065995611,-1102.97922605661,358.786382400172,0
10.8,-1106.48864138454,407.530556634308,-1102.52574090949,354.210564985834,0
11,-1106.17102766321,403.119047273006,-1101.78903054325,349.679763256313,0
11.2,-1105.85341394187,398.707537911703,-1100.8010356325,345.190528822192,0
11.4,-1105.53580022054,394.296028550401,-1099.81324854842,340.702238707324,0
11.6,-1105.2181864992,389.884519189099,-1098.82567336332,336.214911415424,0
11.8,-1104.90057277787,385.473009827796,-1097.83831412627,331.728565344623,0
12,-1104.58295905654,381.061500466494,-1096.73584019549,327.27878225468,0
12.2,-1104.2653453352,376.649991105191,-1095.02600324511,323.017366436608,0
12.4,-1103.94773161387,372.238481743889,-1093.26629981326,318.777522383829,0
12.6,-1103.63011789254,367.826972382587,-1091.49619023557,314.543106682646,0
12.8,-1103.3125041712,363.415463021284,-1089.72650383356,310.309703292666,0
13,-1102.99489044987,359.003953659982,-1087.9572476062,306.077328956676,0
13.2,-1102.56654312678,354.60219641786,-1086.18842850531,301.846000304615,0
13.4,-1101.91120927001,350.234916872315,-1084.42005343474,297.615733851754,0
13.6,-1100.96055758563,345.915361953597,-1082.65212924966,293.386545996878,0
13.8,-1100.00990590125,341.595807034879,-1080.88466275581,289.158453020494,0
14,-1099.05925421686,337.276252116162,-1079.11766070872,284.931471083044,0
14.2,-1098.10860253248,332.956697197444,-1077.351129813,280.70561622313,0
14.4,-1097.1579508481,328.637142278726,-1075.58507672158,276.480904355757,0
14.6,-1095.62032149398,324.49858204969,-1073.819508035,272.25735127059,0
14.8,-1093.94651778855,320.404724287653,-1072.0544303007,268.034972630219,0
15,-1092.24065496584,316.32399820631,-1070.28985001223,263.813783968444,0
15.2,-1090.53479214314,312.243272124967,-1068.52577360865,259.59380068857,0
15.4,-1088.82892932043,308.162546043625,-1066.76220747373,255.375038061717,0
15.6,-1087.12306649773,304.081819962282,-1064.99915793527,251.157511225148,0
15.8,-1085.41720367502,300.001093880939,-1063.23663126446,246.941235180608,0
16,-1083.71134085232,295.920367799597,-1061.47463367512,242.726224792678,0
16.2,-1082.00547802961,291.839641718254,-1059.71317132306,238.512494787146,0
16.4,-1080.29961520691,287.758915636912,-1057.95225030539,234.300059749389,0
16.6,-1078.5937523842,283.678189555569,-1056.0682486426,230.146987944282,0
16.8,-1076.8878895615,279.597463474226,-1053.95199906251,226.104626992422,0
17,-1075.18202673879,275.516737392884,-1051.63484358146,222.175637363384,0
17.2,-1073.47616391609,271.436011311541,-1049.31843243395,218.247909832992,0
17.4,-1071.77030109338,267.355285230198,-1047.00277325104,214.321457340519,0
17.6,-1070.06443827068,263.274559148856,-1044.68787358132,210.396292685413,0
17.8,-1068.35857544797,259.193833067513,-1042.31352875476,206.508593694021,0
18,-1066.65271262527,255.11310698617,-1039.85739444443,202.674571884381,0
18.2,-1064.94684980256,251.032380904828,-1037.35127314068,198.874127384644,0
18.4,-1063.24098697986,246.951654823485,-1034.8460067254,195.074979293087,0
18.6,-1061.53512415715,242.870928742143,-1032.34160291885,191.27713931723,0
18.8,-1059.82926133444,238.7902026608,-1029.83806934671,187.480619021147,0
19,-1058.12339851174,234.709476579457,-1027.33541353924,183.685429824189,0
19.2,-1056.33951232871,230.665389071903,-1024.83364293041,179.891582999741,0
19.4,-1054.28890243728,226.746550928523,-1022.33276485716,176.09908967398,0
19.6,-1052.07346345855,222.91936516338,-1019.83278655852,172.307960824657,0
19.8,-1049.8266397496,219.109630718332,-1017.33371517485,168.518207279894,0
20,-1047.57981604066,215.299896273285,-1014.83555774709,164.729839716992,0
20.2,-1045.33299233172,211.490161828237,-1012.33832121592,160.942868661267,0
20.4,-1043.04525706603,207.705000059785,-1009.84201242105,157.157304484891,0
20.6,-1040.7015498725,203.954703795291,-1007.34663810044,153.373157405755,0
20.8,-1038.26668454586,200.262316469736,-1004.85220488959,149.59043748635,0
21,-1035.83181921921,196.569929144181,-1002.35871932079,145.809154632664,0
21.2,-1033.39695389256,192.877541818626,-999.838364662342,142.048064358155,0
21.4,-1030.96208856591,189.185154493071,-997.270139216523,138.32142355097,0
21.6,-1028.52722323926,185.492767167516,-994.571118542955,134.690517878289,0
21.8,-1026.09235791261,181.800379841961,-991.873151992972,131.061030284151,0
22,-1023.65749258596,178.107992516406,-989.1762460749,127.432969523998,0
22.2,-1021.22262725931,174.415605190851,-986.480407180753,123.8063441968,0
22.4,-1018.78776193266,170.723217865296,-983.754929812573,120.204208651245,0
22.6,-1016.35289660601,167.030830539741,-980.655440504628,116.949362417632,0
22.8,-1013.91803127936,163.338443214186,-977.287388290764,113.944839940433,0
23,-1011.48316595271,159.646055888631,-973.920701278568,110.941535312258,0
23.2,-1009.04830062606,155.953668563076,-970.555386723258,107.939455005232,0
23.4,-1006.61343529941,152.261281237521,-967.191451729542,104.938605357222,0
23.6,-1004.17856997277,148.568893911966,-963.818679056138,101.950763618919,0
23.8,-1001.74370464612,144.876506586411,-960.379390888547,99.0423477745217,0
24,-999.264369136372,141.214080904418,-956.919689191693,96.1612367047173,0
24.2,-996.727602225849,137.591565993239,-953.454790584537,93.289268908003,0
24.4,-994.088985024252,134.041919167952,-949.991349602003,90.4185092998818,0
24.6,-991.450367822654,130.492272342665,-946.52937262625,87.5489631703664,0
24.8,-988.811750621056,126.942625517377,-943.068865878894,84.6806356763979,0
25,-986.171381173329,123.394293565758,-939.609835420323,81.8135318412804,0
25.2,-983.500758372984,119.868663525735,-936.152287149033,78.9476565541299,0
