t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.49688711037097,1.17359541746638,1.97510511828436
0.2,0,0,3.50345782309227,1.17604445677454,1.97780253555017
0.4,0,0,3.5208085595603,1.18240642128647,1.98142018213492
0.6,0,0,3.55790045611113,1.19910995356529,1.9847277913207
0.8,0,0,3.55588692003238,1.19551964654219,1.98848936159695
1,0,0,3.57597861190845,1.19879593746911,1.99487791130909
1.2,0,0,3.59808868260458,1.20131962595258,2.00236270394009
1.4,0,0,3.61158291126882,1.20001693929435,2.00952715654086
1.6,0,0,3.62158753679813,1.20198509337076,2.01350908663131
1.8,0,0,3.64428561252499,1.20978703788394,2.01779645465404
2,0,0,3.64919088695422,1.20818847984457,2.0223827944731
2.2,0,0,3.64956800794565,1.20383167641985,2.02726095041412
2.4,0,0,3.63060461943025,1.18979727695227,2.03212282381761
2.6,0,0,3.68225110243369,1.21191138760064,2.03643056050887
2.8,0,0,3.65058145433908,1.19317624301036,2.04020522820636
3,0,0,3.66012621867706,1.19505341147461,2.04395314687694
3.2,0,0,3.66647432911385,1.19533778057765,2.04767319339262
3.4,1,1,4.8703902848155,1.7444120193726,2.05136425233637
3.6,0,0,3.69691459807825,1.20479680211404,2.0550252163765
3.8,0,0,3.66783900885453,1.18738841543889,2.05865498663866
4,0,0,3.67717653583054,1.18919378382336,2.06225247307522
4.2,0,0,3.70019296287716,1.19784621272707,2.06581659483202
4.4,0,0,3.71396200217263,1.20188297007347,2.06934628061215
4.6,0,0,3.72491995341109,1.20452261577365,2.07284046903695
4.8,0,0,3.73405869964498,1.20626149956754,2.07629810900377
5,0,0,3.74314299357705,1.20798240409047,2.07971816004066
5.2,0,0,3.75276759306852,1.21053332074387,2.08275237893021
5.4,0,0,3.76257915307129,1.21331907281155,2.08566410207283
5.6,0,0,3.7729212829631,1.21634023309331,2.0885606328123
5.8,0,0,3.78058295630849,1.2178347125497,2.09154003625186
6,0,0,3.79243625714261,1.22124090650268,2.0946000947583
6.2,0,0,3.78383248344382,1.21436244547864,2.09765932306891
6.4,0,0,3.80041503940232,1.22000038753371,2.10073003885425
6.6,0,0,3.81168299036043,1.22287966581907,2.10382706765811
6.8,0,0,3.84162488978943,1.23474250195115,2.1071087848892
7,0,0,3.85386013917148,1.23740386076643,2.11057119467537
7.2,0,0,3.83974207485077,1.22654615225252,2.11421001221653
7.4,0,0,3.84680904584414,1.2272662682071,2.11718672125062
7.6,0,0,3.85791553346492,1.23008323757934,2.12007382126123
7.8,0,0,3.87173479823985,1.23428928359593,2.12289871350093
8,0,0,3.87776609227213,1.23458816413215,2.12568973485005
8.2,0,0,3.87094653099924,1.22844912424125,2.12844585673078
8.4,0,0,3.87645563634496,1.22850914037188,2.13113670261185
8.6,0,0,3.88288494323994,1.22910181051002,2.13373783270928
8.8,0,0,3.89060832572504,1.23039201572026,2.13626261363967
9,0,0,3.89824442119734,1.2316554276606,2.13873174141329
9.2,0,0,3.90422874914022,1.23211015457795,2.14114447381012
9.4,1,1,5.08910589377911,1.77202883357945,2.14350008599939
9.6,1,1,5.09745169340596,1.77369972523225,2.14579787078962
9.8,0,0,3.92320609493572,1.23409314078004,2.14803713887276
10,0,0,3.9370518005015,1.23855076538008,2.15021721906269
10.2,1,1,5.1355300763988,1.78534356251558,2.15233745852761
10.4,1,1,5.30143426337587,1.8658685290822,2.15439722301658
10.6,0,0,3.96395038102687,1.24471899752697,2.15639589707989
10.8,0,0,3.9706774477438,1.24571899769265,2.15831761144536
11,0,0,3.97933818235393,1.24798684620942,2.15999983240582
11.2,1,1,5.09944660526158,1.75618803984166,2.16149994860614
11.4,1,1,5.10615795069244,1.75760436423899,2.16300430241878
11.6,1,1,5.10917942895841,1.75709063238756,2.1645118041481
11.8,1,1,5.10832473620766,1.75455492319198,2.16602136692788
12,0,0,4.00771525314241,1.25230572442866,2.16737632335881
12.2,0,0,4.01289225949177,1.25395139263615,2.16804774993052
12.4,1,1,5.12164131173117,1.7570681962696,2.16886618446827
12.6,1,1,5.13315762329445,1.76110869730337,2.16992291935129
12.8,1,1,5.23632326426181,1.81048465270077,2.17123620938915
13,1,1,5.37215405054993,1.87570911299512,2.17280260605419
13.2,0,0,4.03464793605396,1.25409909714489,2.17442122109988
13.4,0,0,4.04148117017857,1.25477861771459,2.17591147576569
13.6,1,1,5.18193060743751,1.77270093573585,2.17707454314048
13.8,1,1,5.33570306965527,1.84715639469066,2.17826562211134
14,1,1,5.17591029520059,1.76470268558994,2.1794834518187
14.2,1,1,5.1773000913614,1.762715580805,2.18072676047575
14.4,1,1,5.17738263587279,1.7599520804985,2.18199426817248
14.6,1,1,5.18248347882118,1.7603998946241,2.18276533750104
