t,is_nlos,nlosv,shadowing_dB,interference_dB,veg_atten_dB
0,0,0,3.16172616294766,1.06319863569294,1.68250671948821
0.2,0,0,3.16764086341171,1.06541055189902,1.68477426456847
0.4,0,0,3.18406356148422,1.07146904883989,1.68796439655727
0.6,0,0,3.21969207398013,1.08768315275035,1.69084703046399
0.8,0,0,3.21728229608309,1.08397145430745,1.69418634599739
1,0,0,3.23643055802903,1.08701262826542,1.7001555421468
1.2,0,0,3.25756571141284,1.0893197447433,1.70722406239631
1.4,0,0,3.27031601767522,1.08786985338113,1.7139755030881
1.6,0,0,3.27961929437022,1.08962323049205,1.71754786025642
1.8,0,0,3.30128308347375,1.09710807707319,1.72142927201459
2,0,0,3.30564436506435,1.09536437942934,1.72561344898714
2.2,0,0,3.30560973099687,1.0909148934265,1.73009341128371
2.4,0,0,3.28676156547848,1.0769639005022,1.73456123498633
2.6,0,0,3.33661236234434,1.09851097575954,1.73847923955357
2.8,0,0,3.30539270178872,1.07994446283149,1.74186866516361
3,0,0,3.31427989806895,1.08162134262902,1.74523600300435
3.2,0,0,3.32006217182337,1.08173627087955,1.74858029986555
3.4,0,0,3.42078356738378,1.12976510409594,1.75190060888031
3.6,0,0,3.34890868824813,1.09070321925321,1.75519598983565
3.8,0,0,3.32024108074337,1.07345084401149,1.75846550948102
4,0,0,3.3289555936533,1.0750688516865,1.76170824183478
4.2,0,0,3.35098601446527,1.08341322098885,1.7649232684884
4.4,0,0,3.3640252430192,1.08722762100993,1.76810967890834
4.6,0,0,3.37433597484859,1.08967274878665,1.77126657073553
4.8,0,0,3.38288348606697,1.09123609015402,1.77439305008229
5,0,0,3.39138505286237,1.09278460720939,1.77748823182666
5.2,0,0,3.40041345067905,1.09514997121806,1.78020402617654
5.4,0,0,3.40962968162554,1.09774864294059,1.78280392097377
5.6,0,0,3.4193701435879,1.1005816026565,1.78539536896131
5.8,0,0,3.4265124091053,1.10191886580146,1.78807658254141
6,0,0,3.4377431546034,1.10513699752537,1.79084548922261
6.2,0,0,3.42907793781919,1.09825896608265,1.79362074667017
6.4,0,0,3.44492817929862,1.10367551641811,1.79641481321319
6.6,0,0,3.45561689905786,1.10638664585435,1.79924265272949
6.8,0,0,3.48448790545234,1.11792379297183,1.80226277658311
7,0,0,3.49614296936038,1.12042930296849,1.80547132242506
7.2,0,0,3.48216897217018,1.10966335007821,1.80886413649352
7.4,0,0,3.48880616873468,1.11026842557165,1.81160283102806
7.6,0,0,3.49938217079158,1.11293612987864,1.81426003142615
7.8,0,0,3.5126066925519,1.11697157285305,1.81686326221638
8,0,0,3.51826315116306,1.11717399314374,1.81944098086791
8.2,0,0,3.51142548608605,1.11105824138018,1.82199227665621
8.4,0,0,3.51659297983135,1.1110337840284,1.82448688812017
8.6,0,0,3.52266490429304,1.11153618781093,1.82690048771637
8.8,0,0,3.53000540730387,1.11272746057658,1.82924655142664
9,0,0,3.53727091650051,1.11389642891351,1.83154588170657
9.2,0,0,3.54293930592269,1.11427532128919,1.83379783981776
9.4,0,0,3.62538056623107,1.15341191215702,1.83600180140469
9.6,0,0,3.6333670948733,1.15499331683447,1.83815715670305
9.8,0,0,3.56100256352199,1.11604442301154,1.84026331074321
10,0,0,3.57436134116752,1.12037080615155,1.84231968354902
10.2,0,0,3.67007817617756,1.16627459160679,1.84432571033165
10.4,1,1,4.90171108176767,1.73630766809659,1.84628084167856
10.6,0,0,3.60025814403511,1.12630072439132,1.84818454373746
10.8,0,0,3.60673302519429,1.12724894314365,1.85002102555719
11,0,0,3.61509716997176,1.12944601988477,1.85162782844097
11.2,0,0,3.63460881507476,1.13747369201646,1.85306241270031
11.4,0,0,3.64109735726646,1.13884330885137,1.85451118899851
11.6,0,0,3.64400797244109,1.13832232366763,1.85597313252414
11.8,0,0,3.64315944305693,1.13582049527145,1.85744721785884
12,0,0,3.64255919396573,1.13360427827384,1.85877683558626
12.2,0,0,3.64758967440493,1.13521539066115,1.85943311668673
12.4,0,0,3.65611086912783,1.13827644292505,1.86024664995778
12.6,0,0,3.66734138101532,1.14225016897455,1.86130877520745
12.8,1,1,4.83806383829148,1.68174899388165,1.862637791107
13,1,1,4.97028661859367,1.7458167410003,1.86423028940063
13.2,0,0,3.66896625032718,1.1354180892782,1.86588541850265
13.4,0,0,3.67569859541681,1.13611224948249,1.86742263268219
13.6,0,0,3.71514657983771,1.1537426935377,1.86864313440772
13.8,1,1,4.93517120642386,1.71789370165662,1.8699021482783
14,0,0,3.7095102014309,1.14596493266665,1.87119843546241
14.2,0,0,3.71099318145539,1.14405939951934,1.87253074250219
14.4,0,0,3.71121754485372,1.14139647908826,1.87389780410371
14.6,0,0,3.71632892799809,1.14189042079473,1.87477899374983
14.8,0,0,3.72096121817333,1.14230814248468,1.87551058069849
15,0,0,3.72548177252616,1.14269650029154,1.87618124825721
15.2,0,0,3.72989824819438,1.14305647156408,1.87679284621556
15.4,0,0,3.72025749411428,1.13634716187901,1.87734525536827
15.6,0,0,3.72432290890769,1.1365788809096,1.8778383748878
15.8,0,0,3.73348893104108,1.13940925202709,1.87827212236115
16,0,0,3.74272686577955,1.14230087007005,1.87864643382047
16.2,0,0,3.74662014954792,1.14252059710745,1.87896126376764
16.4,0,0,3.75040651523961,1.14271171366574,1.87921658519273
16.6,0,0,3.75388813497453,1.14284902249661,1.87936472072949
16.8,0,0,3.75854246367586,1.14372152256591,1.87937798203932
17,0,0,3.76306081711169,1.14479775527824,1.87917395097469
17.2,1,1,4.93118602778974,1.68389896168479,1.87896558457317
17.4,0,0,3.78683447783519,1.15420761063957,1.87875259572219
17.6,0,0,3.76309097272578,1.14084440680878,1.87853470781678
17.8,0,0,3.7604211916258,1.13813291737105,1.87826350364353
18,0,0,3.7859253905423,1.14968050777642,1.8779235787051
18.2,0,0,3.78935264107367,1.15004218892565,1.87757095213263
18.4,0,0,3.77680451508876,1.14221418754637,1.87725887773911
18.6,0,0,3.78260414822414,1.14351805355464,1.87698682520415
18.8,0,0,3.78459545357164,1.1427745700926,1.8767542450646
