t,is_nlos,nlosv,shadowing_dB,interference_dB
0,1,1,0.594976199688676,0.324992066562892
1.21212293439804,1,1,0.590400694403052,0.323466898134351
2.42424297887395,1,1,0.585974300232722,0.321991433410908
3.63636302334985,0,0,0.241415586934885,0.160471862311628
4.84848595774789,1,1,0.575832524327532,0.318610841442511
6.0606060022238,1,1,0.571516514504637,0.317172171501546
7.27272893662184,1,1,0.567078384602341,0.315692794867447
8.48484898109774,1,1,0.562712217503398,0.314237405834466
9.69696902557364,1,1,0.559036128950007,0.233012042983336
10.9090919599717,1,1,0.55486113569479,0.23162037856493
12.1212120044476,1,1,0.550766784062446,0.230255594687482
13.3333349388456,1,1,0.54679285749502,0.30893095249834
14.5454549833215,1,1,0.542705604854753,0.307568534951584
15.7575750277974,1,1,0.538684860529799,0.306228286843267
16.9696979621955,1,1,0.53471035400074,0.30490345133358
18.1818180066714,0,0,0.190825337042144,0.143608445680715
19.3939409410694,0,0,0.186890023745662,0.142296674581887
20.6060609855453,0,0,0.183105766225643,0.141035255408548
21.8181810300212,0,0,0.179303777615539,0.139767925871846
23.0303039644193,0,0,0.175566308564919,0.138522102854973
24.2424240088952,0,0,0.171944114311349,0.13731470477045
25.4545469432932,0,0,0.168463261176341,0.136154420392114
26.6666669877691,0,0,0.164980674961064,0.134993558320355
27.878787032245,0,0,0.161599410778653,0.133866470259551
29.0909099666431,0,0,0.158295504540949,0.132765168180316
30.303030011119,0,0,0.155176018448495,0.131725339482832
31.515152945517,0,0,0.152170396700665,0.130723465566888
32.7272729899929,0,0,0.149114851846993,0.129704950615664
33.9393930344688,0,0,0.146074843455224,0.128691614485075
35.1515159688669,0,0,0.143027558582101,0.1276758528607
36.3636360133428,0,0,0.140197044861453,0.126732348287151
37.5757589477408,0,0,0.137207639319584,0.125735879773195
38.7878789922167,0,0,0.134441070380923,0.124813690126974
39.9999990366926,0,0,0.131679756376778,0.123893252125593
41.2121219710907,0,0,0.128875162897038,0.122958387632346
42.4242420155666,0,0,0.126152507370314,0.122050835790105
43.6363649499646,0,0,0.123674879592461,0.121224959864154
44.8484849944405,0,0,0.121272620371525,0.120424206790508
46.0606050389164,1,1,0.46,0.28
47.2727279733145,1,1,0.46,0.28
48.4848480177904,1,1,0.46,0.28
49.6969709521884,1,1,0.46,0.28
50.9090909966643,1,1,0.46,0.28
52.1212110411402,0,0,0.12,0.12
53.3333339755383,0,0,0.12,0.12
54.5454540200142,0,0,0.12,0.12
55.7575769544122,1,1,0.46,0.28
56.9696969988881,1,1,0.46,0.28
58.181817043364,1,1,0.46,0.28
59.3939399777621,1,1,0.46,0.28
60.6060600222379,1,1,0.46,0.28
61.818182956636,1,1,0.46,0.28
63.0303030011119,1,1,0.46,0.28
64.2424230455878,1,1,0.46,0.28
65.4545459799858,1,1,0.46,0.28
66.6666660244617,1,1,0.46,0.28
67.8787889588598,1,1,0.46,0.28
69.0909090033357,1,1,0.46,0.28
70.3030290478116,0,0,0.12,0.12
71.5151519822096,0,0,0.12,0.12
72.7272720266855,0,0,0.12,0.12
73.9393949610836,0,0,0.12,0.12
75.1515150055595,0,0,0.12,0.12
76.3636350500354,0,0,0.12,0.12
77.5757579844334,0,0,0.12,0.12
78.7878780289093,0,0,0.12,0.12
80.0000009633074,0,0,0.12,0.12
81.2121210077833,0,0,0.12,0.12
82.4242410522592,0,0,0.12,0.12
83.6363639866572,0,0,0.12,0.12
84.8484840311331,0,0,0.12,0.12
86.0606069655312,0,0,0.12,0.12
87.2727270100071,0,0,0.12,0.12
88.484847054483,0,0,0.12,0.12
89.696969988881,0,0,0.12,0.12
90.9090900333569,0,0,0.12,0.12
92.121212967755,0,0,0.12,0.12
93.3333330122309,0,0,0.12,0.12
94.5454530567068,0,0,0.12,0.12
95.7575759911048,0,0,0.12,0.12
96.9696960355807,0,0,0.12,0.12
98.1818189699788,0,0,0.12,0.12
99.3939390144547,0,0,0.12,0.12
100.606059058931,0,0,0.12,0.12
101.818181993329,0,0,0.12,0.12
103.030302037805,0,0,0.12,0.12
104.242424972203,0,0,0.12,0.12
105.454545016678,0,0,0.12,0.12
106.666665061154,0,0,0.12,0.12
107.878787995552,0,0,0.12,0.12
109.090908040028,0,0,0.12,0.12
110.303030974426,0,0,0.12,0.12
111.515151018902,0,0,0.12,0.12
112.727271063378,0,0,0.12,0.12
113.939393997776,0,0,0.12,0.12
115.151514042252,0,0,0.12,0.12
116.36363697665,0,0,0.12,0.12
117.575757021126,0,0,0.12,0.12
118.787877065602,0,0,0.12,0.12
120,0,0,0.12,0.12
