Method,Stage,TimelyRateGain,EmergencyTimelyRateGain,AvgTxCostDelta
Fixed,Normal,-0.0639999999999999,NaN,-1.21504
Fixed,Coop_1,0,NaN,0
Fixed,LinkDeg_Emerg,0,NaN,0
Fixed,PosDeg_Emerg,0,0,-0.159090909090909
Fixed,Recovery,0,NaN,-0.0649006622516557
Fixed,Full,-0.0133111480865225,0,-0.298136439267887
Priority-only,Normal,-0.056,NaN,-0.778239999999999
Priority-only,Coop_1,0,NaN,1.4
Priority-only,LinkDeg_Emerg,0,NaN,1.4
Priority-only,PosDeg_Emerg,0,0,1.41
Priority-only,Recovery,0,NaN,0.0370860927152321
Priority-only,Full,-0.0116472545757071,0,0.606356073211313
Link-delay-aware,Normal,-0.0639999999999999,NaN,-1.21504
Link-delay-aware,Coop_1,0,NaN,0
Link-delay-aware,LinkDeg_Emerg,0,NaN,0
Link-delay-aware,PosDeg_Emerg,0,0,-0.101818181818182
Link-delay-aware,Recovery,-0.00662251655629142,NaN,-0.0649006622516557
Link-delay-aware,Full,-0.0149750415973378,0,-0.28765391014975
Position-only,Normal,-0.0639999999999999,NaN,-1.21504
Position-only,Coop_1,0,NaN,1.02666666666667
Position-only,LinkDeg_Emerg,0,NaN,1.4
Position-only,PosDeg_Emerg,0,0,1.71381818181818
Position-only,Recovery,0,NaN,0.0370860927152321
Position-only,Full,-0.0133111480865225,0,0.477936772046589
Fused-rule,Normal,0,NaN,-0.517439999999999
Fused-rule,Coop_1,0,NaN,0
Fused-rule,LinkDeg_Emerg,0,NaN,0
Fused-rule,PosDeg_Emerg,0,0,0.757454545454546
Fused-rule,Recovery,0,NaN,0.0185430463576159
Fused-rule,Full,0,0,0.0356738768718803
Blind-zone-event-only,Normal,-0.056,NaN,-0.778239999999999
Blind-zone-event-only,Coop_1,0,NaN,1.4
Blind-zone-event-only,LinkDeg_Emerg,0,NaN,1.4
Blind-zone-event-only,PosDeg_Emerg,0,0,1.74713890909091
Blind-zone-event-only,Recovery,0,NaN,0.22492821192053
Blind-zone-event-only,Full,-0.0116472545757071,0,0.71525697171381
Oracle,Normal,-0.016,NaN,-0.904239999999999
Oracle,Coop_1,0,NaN,0
Oracle,LinkDeg_Emerg,0,NaN,0
Oracle,PosDeg_Emerg,0,0,-0.101818181818182
Oracle,Recovery,-0.00662251655629142,NaN,-0.0649006622516557
Oracle,Full,-0.00499168053244592,0,-0.223011647254576
Confidence-driven,Normal,-0.056,NaN,-1.18144
Confidence-driven,Coop_1,0,NaN,0
Confidence-driven,LinkDeg_Emerg,0,NaN,0
Confidence-driven,PosDeg_Emerg,0,0,0.105454545454546
Confidence-driven,Recovery,-0.00662251655629142,NaN,-0.0490066225165562
Confidence-driven,Full,-0.0133111480865225,0,-0.238735440931781
