Method,Stage,AvgDelay_s,TimelyRate,LossRate,AvgTxCost,EmergencyTimelyRate
Fixed,Normal,0.0128619157311216,0.936,0.0639999999999999,1.312,NaN
Fixed,Coop_1,0.0119173255147018,1,0,2,NaN
Fixed,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Fixed,PosDeg_Emerg,0.0119568993696296,1,0,1.97272727272727,1
Fixed,Recovery,0.0119744362424736,1,0,1.07284768211921,NaN
Fixed,Full,0.0121459285065288,0.986688851913478,0.0133111480865225,1.61896838602329,1
Priority-only,Normal,0.0129909261307834,0.944,0.056,1.7488,NaN
Priority-only,Coop_1,0.0119173255147018,1,0,3.4,NaN
Priority-only,LinkDeg_Emerg,0.0121029820515743,1,0,3.4,NaN
Priority-only,PosDeg_Emerg,0.0125711860465084,1,0,3.54181818181818,1
Priority-only,Recovery,0.0119744362424736,1,0,1.17483443708609,NaN
Priority-only,Full,0.0122865189927937,0.988352745424293,0.0116472545757071,2.52346089850249,1
Link-aware,Normal,0.0333038577201382,1,0,2.52704,NaN
Link-aware,Coop_1,0.0119173255147018,1,0,2,NaN
Link-aware,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Link-aware,PosDeg_Emerg,0.0119568993696296,1,0,2.13181818181818,1
Link-aware,Recovery,0.0119744362424736,1,0,1.13774834437086,NaN
Link-aware,Full,0.0164071109465019,1,0,1.91710482529118,1
Link-delay-aware,Normal,0.0128619157311216,0.936,0.0639999999999999,1.312,NaN
Link-delay-aware,Coop_1,0.0119173255147018,1,0,2,NaN
Link-delay-aware,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Link-delay-aware,PosDeg_Emerg,0.0119568993696296,1,0,2.03,1
Link-delay-aware,Recovery,0.0119823682849193,0.993377483443709,0.00662251655629142,1.07284768211921,NaN
Link-delay-aware,Full,0.0121482279974594,0.985024958402662,0.0149750415973378,1.62945091514143,1
Position-only,Normal,0.0128619157311216,0.936,0.0639999999999999,1.312,NaN
Position-only,Coop_1,0.0119173255147018,1,0,3.02666666666667,NaN
Position-only,LinkDeg_Emerg,0.0121029820515743,1,0,3.4,NaN
Position-only,PosDeg_Emerg,0.0144770205947162,1,0,3.84563636363636,1
Position-only,Recovery,0.0119744362424736,1,0,1.17483443708609,NaN
Position-only,Full,0.0126134046191082,0.986688851913478,0.0133111480865225,2.39504159733777,1
Fused-rule,Normal,0.0333038577201382,1,0,2.0096,NaN
Fused-rule,Coop_1,0.0119173255147018,1,0,2,NaN
Fused-rule,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Fused-rule,PosDeg_Emerg,0.0144770205947162,1,0,2.88927272727273,1
Fused-rule,Recovery,0.0119744362424736,1,0,1.15629139072848,NaN
Fused-rule,Full,0.0168683644153198,1,0,1.95277870216306,1
Blind-zone-event-only,Normal,0.0129909261307834,0.944,0.056,1.7488,NaN
Blind-zone-event-only,Coop_1,0.0119173255147018,1,0,3.4,NaN
Blind-zone-event-only,LinkDeg_Emerg,0.0121029820515743,1,0,3.4,NaN
Blind-zone-event-only,PosDeg_Emerg,0.0140524167845692,1,0,3.87895709090909,1
Blind-zone-event-only,Recovery,0.0128532850266113,1,0,1.36267655629139,NaN
Blind-zone-event-only,Full,0.0127842320358771,0.988352745424293,0.0116472545757071,2.63236179700499,1
Oracle,Normal,0.0136269659818215,0.984,0.016,1.6228,NaN
Oracle,Coop_1,0.0119173255147018,1,0,2,NaN
Oracle,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Oracle,PosDeg_Emerg,0.0119568993696296,1,0,2.03,1
Oracle,Recovery,0.0119823682849193,0.993377483443709,0.00662251655629142,1.07284768211921,NaN
Oracle,Full,0.0123127485781251,0.995008319467554,0.00499168053244592,1.69409317803661,1
Confidence-driven,Normal,0.0129909261307834,0.944,0.056,1.3456,NaN
Confidence-driven,Coop_1,0.0119173255147018,1,0,2,NaN
Confidence-driven,LinkDeg_Emerg,0.0121029820515743,1,0,2,NaN
Confidence-driven,PosDeg_Emerg,0.0134381301076904,1,0,2.23727272727273,1
Confidence-driven,Recovery,0.0121678866471903,0.993377483443709,0.00662251655629142,1.0887417218543,NaN
Confidence-driven,Full,0.0124967946929419,0.986688851913478,0.0133111480865225,1.6783693843594,1
