Parameter,Value,FullRMSE_m,DegradedRMSE_m,OutageRMSE_m,RecoveryRMSE_m
residual_bad_threshold,3,1.45075195694057,2.28407036230254,2.13947057212952,0.314033047708395
residual_bad_threshold,4.5,1.38348713149222,2.35697174000039,1.71566264455672,0.276576703749551
residual_bad_threshold,6,1.44735765904922,2.311073189845,2.08778799952184,0.290875906295215
residual_bad_threshold,8,1.50916789248346,2.54004138809234,1.94608111478491,0.287219544254109
residual_ema_decay,0.8,1.24902033362545,2.13771873003269,1.52683665650546,0.249483864562899
residual_ema_decay,0.88,1.63512871068015,2.39475897684467,2.6753832604243,0.354259993222665
residual_ema_decay,0.92,1.55353007252784,2.3928436471548,2.37583466432858,0.329767911338425
residual_ema_decay,0.96,1.43517717100423,2.43299306938159,1.80431281805648,0.299908675465902
zupt_velocity_gain,0.05,1.5819246510395,2.32677695388464,2.57630860840528,0.353925623415427
zupt_velocity_gain,0.15,1.52192824549672,2.23931237258316,2.47709813997903,0.330594402768095
zupt_velocity_gain,0.3,1.47774247125352,2.29212500361312,2.23453860168173,0.31239077094289
zupt_velocity_gain,0.5,1.46368804467308,2.24474579270012,2.25227181612099,0.316730679523567
nhc_velocity_gain,0.5,1.42362553033077,2.37173436592295,1.87578743162981,0.285474938935168
nhc_velocity_gain,0.7,1.60500942244108,2.37772892881738,2.59503462047692,0.335115044343825
nhc_velocity_gain,0.9,1.543648379594,2.54481952642467,2.08835348765172,0.299900631920337
nhc_velocity_gain,0.98,1.66301106541905,2.47120749733018,2.67308180964379,0.360817553779195
